MDTU,|Tr(L)|,ReTr(L),ImTr(L)
433,0.93147,0.370129,0.854775
434,0.929888,0.274092,0.888575
435,0.932612,0.401088,0.841958
436,0.930055,0.408023,0.835775
437,0.933998,0.397655,0.845117
438,0.931396,0.415028,0.833817
439,0.935893,0.461289,0.814315
440,0.935893,0.461289,0.814315
441,0.932056,0.430945,0.826448
442,0.928999,0.522066,0.768432
443,0.933609,0.509398,0.782393
444,0.93215,0.433509,0.825212
445,0.93215,0.433509,0.825212
446,0.933421,0.566636,0.741753
447,0.933421,0.566636,0.741753
448,0.933421,0.566636,0.741753
449,0.933532,0.506077,0.784454
450,0.933532,0.506077,0.784454
451,0.931283,0.583715,0.725648
452,0.931283,0.583715,0.725648
453,0.932899,0.597563,0.716392
454,0.925834,0.616493,0.690727
455,0.932178,0.65192,0.666301
456,0.935377,0.648135,0.674427
457,0.932252,0.600552,0.713043
458,0.930936,0.630746,0.684691
459,0.930512,0.55298,0.748376
460,0.935329,0.493078,0.794805
461,0.935981,0.428308,0.832234
462,0.932776,0.412096,0.836808
463,0.931709,0.397749,0.842542
464,0.933164,0.443737,0.820909
465,0.934863,0.359463,0.862992
466,0.932491,0.34493,0.86635
467,0.933505,0.31211,0.879783
468,0.930896,0.363047,0.857183
469,0.932957,0.366531,0.857942
470,0.932957,0.366531,0.857942
471,0.93395,0.331073,0.8733
472,0.930004,0.311855,0.876158
473,0.935561,0.443653,0.823678
474,0.934935,0.390399,0.849525
475,0.935212,0.359192,0.863483
476,0.931977,0.36452,0.857733
477,0.928783,0.264273,0.890392
478,0.933283,0.196171,0.912433
479,0.928196,0.148852,0.916183
480,0.926323,0.181339,0.9084
481,0.93012,0.106959,0.92395
482,0.935769,0.0716149,0.933025
483,0.935146,0.0288833,0.9347
484,0.935146,0.0288833,0.9347
485,0.935146,0.0288833,0.9347
486,0.935146,0.0288833,0.9347
487,0.934608,-0.0515832,0.933183
488,0.934608,-0.0515832,0.933183
489,0.934608,-0.0515832,0.933183
490,0.936094,-0.129811,0.92705
491,0.93695,-0.215313,0.911875
492,0.93695,-0.215313,0.911875
493,0.93695,-0.215313,0.911875
494,0.934409,-0.169766,0.918858
495,0.934094,-0.160511,0.9202
496,0.933798,-0.133138,0.924258
497,0.93425,-0.252762,0.899408
498,0.93247,-0.332082,0.871333
499,0.93448,-0.359127,0.862717
500,0.927974,-0.314028,0.873225
501,0.927974,-0.314028,0.873225
502,0.932951,-0.397055,0.844242
503,0.932951,-0.397055,0.844242
504,0.938513,-0.471057,0.811733
505,0.930261,-0.570691,0.734641
506,0.931744,-0.53533,0.762607
507,0.931744,-0.53533,0.762607
508,0.931744,-0.53533,0.762607
509,0.931744,-0.53533,0.762607
510,0.931362,-0.53701,0.760957
511,0.931362,-0.53701,0.760957
512,0.927942,-0.53915,0.755244
513,0.931071,-0.516112,0.774932
514,0.931071,-0.516112,0.774932
515,0.931071,-0.516112,0.774932
516,0.928555,-0.584525,0.721488
517,0.92874,-0.608405,0.701713
518,0.936351,-0.655462,0.668672
519,0.932214,-0.595594,0.71714
520,0.932214,-0.595594,0.71714
521,0.924905,-0.616045,0.689882
522,0.931468,-0.645723,0.671323
523,0.929399,-0.587458,0.720192
524,0.929399,-0.587458,0.720192
525,0.929399,-0.587458,0.720192
526,0.927265,-0.638296,0.672607
527,0.92817,-0.692224,0.618325
528,0.924836,-0.686138,0.62011
529,0.924836,-0.686138,0.62011
530,0.924836,-0.686138,0.62011
531,0.932826,-0.642828,0.675971
532,0.931177,-0.612486,0.701392
533,0.931177,-0.612486,0.701392
534,0.932775,-0.53368,0.765019
535,0.927274,-0.592427,0.713349
536,0.927274,-0.592427,0.713349
537,0.927133,-0.615221,0.693598
538,0.928993,-0.618673,0.693017
539,0.928993,-0.618673,0.693017
540,0.931323,-0.704682,0.608922
541,0.93052,-0.701386,0.611495
542,0.933201,-0.682848,0.636068
543,0.931181,-0.608198,0.70512
544,0.931181,-0.608198,0.70512
545,0.931296,-0.490128,0.791887
546,0.933525,-0.560148,0.746795
547,0.930711,-0.589652,0.720092
548,0.930784,-0.559469,0.743877
549,0.933922,-0.538367,0.763132
550,0.933529,-0.561728,0.745612
551,0.931247,-0.545761,0.754563
552,0.931247,-0.545761,0.754563
553,0.931247,-0.545761,0.754563
554,0.934568,-0.476391,0.804032
555,0.934568,-0.476391,0.804032
556,0.934568,-0.476391,0.804032
557,0.936348,-0.469305,0.810248
558,0.931879,-0.441761,0.820516
559,0.931879,-0.441761,0.820516
560,0.931068,-0.47101,0.803142
561,0.931946,-0.535452,0.762767
562,0.93201,-0.707878,0.60626
563,0.931366,-0.678017,0.638543
564,0.934901,-0.746231,0.563187
565,0.934901,-0.746231,0.563187
566,0.934461,-0.809092,0.467534
567,0.934126,-0.831668,0.425345
568,0.93366,-0.805859,0.4715
569,0.93366,-0.805859,0.4715
570,0.933301,-0.810483,0.462783
571,0.930906,-0.800043,0.475938
572,0.932116,-0.850283,0.381915
573,0.926261,-0.853642,0.359521
574,0.926261,-0.853642,0.359521
575,0.934008,-0.830658,0.427058
576,0.934835,-0.799513,0.484454
577,0.934384,-0.806863,0.471216
578,0.930895,-0.835167,0.411172
579,0.931453,-0.784095,0.502792
580,0.930796,-0.787776,0.495772
581,0.926516,-0.742584,0.554076
582,0.93457,-0.672042,0.649447
583,0.928972,-0.651243,0.662474
584,0.933624,-0.498753,0.789239
585,0.933624,-0.498753,0.789239
586,0.933624,-0.498753,0.789239
587,0.933624,-0.498753,0.789239
588,0.936634,-0.578114,0.736931
589,0.934141,-0.424195,0.832273
590,0.931152,-0.45637,0.811647
591,0.930644,-0.587482,0.721778
592,0.932448,-0.656916,0.661756
593,0.932341,-0.656255,0.662261
594,0.934308,-0.561109,0.747053
595,0.934308,-0.561109,0.747053
596,0.934795,-0.604546,0.712998
597,0.932443,-0.597467,0.715878
598,0.937188,-0.586948,0.730626
599,0.937188,-0.586948,0.730626
600,0.930229,-0.590969,0.718387
601,0.930229,-0.590969,0.718387
602,0.930229,-0.590969,0.718387
603,0.93552,-0.557282,0.751422
604,0.934395,-0.584933,0.728661
605,0.932203,-0.545321,0.75606
606,0.935247,-0.654549,0.668022
607,0.931356,-0.664883,0.652193
608,0.934336,-0.66949,0.651742
609,0.934336,-0.66949,0.651742
610,0.934336,-0.66949,0.651742
611,0.931396,-0.637142,0.679374
612,0.929091,-0.576771,0.728386
613,0.929848,-0.508281,0.778633
614,0.934418,-0.596622,0.719152
615,0.931547,-0.680137,0.636547
616,0.930489,-0.631261,0.683608
617,0.934124,-0.544371,0.75911
618,0.9341,-0.594448,0.720537
619,0.93404,-0.597763,0.717711
620,0.932927,-0.519417,0.774957
621,0.932927,-0.519417,0.774957
622,0.932927,-0.519417,0.774957
623,0.935426,-0.505215,0.787261
624,0.935426,-0.505215,0.787261
625,0.931755,-0.452012,0.814771
626,0.932856,-0.398284,0.843558
627,0.932856,-0.398284,0.843558
628,0.932856,-0.398284,0.843558
629,0.932132,-0.405606,0.839258
630,0.929739,-0.479057,0.796818
631,0.93217,-0.521617,0.772564
632,0.934064,-0.567132,0.742184
633,0.932585,-0.422003,0.831642
634,0.932246,-0.346544,0.865442
635,0.933779,-0.351963,0.864908
636,0.932812,-0.48367,0.797623
637,0.932812,-0.48367,0.797623
638,0.932812,-0.48367,0.797623
639,0.934906,-0.411447,0.8395
640,0.932538,-0.380248,0.851492
641,0.932762,-0.314014,0.878317
642,0.93265,-0.295847,0.884483
643,0.931351,-0.183227,0.91315
644,0.931351,-0.183227,0.91315
645,0.935536,-0.184437,0.917175
646,0.927053,-0.175487,0.910292
647,0.933867,-0.123863,0.925617
648,0.934375,-0.212852,0.909808
649,0.934375,-0.212852,0.909808
650,0.930743,-0.341172,0.865958
651,0.933981,-0.382218,0.852192
652,0.933981,-0.382218,0.852192
653,0.933981,-0.382218,0.852192
654,0.933116,-0.356513,0.862325
655,0.936186,-0.366378,0.861517
656,0.936186,-0.366378,0.861517
657,0.930967,-0.193784,0.910575
658,0.930967,-0.193784,0.910575
659,0.930967,-0.193784,0.910575
660,0.930967,-0.193784,0.910575
661,0.930967,-0.193784,0.910575
662,0.931713,-0.118279,0.924175
663,0.932969,-0.111561,0.926275
664,0.932969,-0.111561,0.926275
665,0.927372,-0.0445673,0.9263
666,0.927372,-0.0445673,0.9263
667,0.934996,-0.0540388,0.933433
668,0.934996,-0.0540388,0.933433
669,0.935358,-0.0753641,0.932317
670,0.935358,-0.0753641,0.932317
671,0.935358,-0.0753641,0.932317
672,0.935358,-0.0753641,0.932317
673,0.933294,-0.0428737,0.932308
674,0.932626,-0.0422867,0.931667
675,0.930142,-0.0577031,0.92835
676,0.93174,0.133739,0.922092
677,0.93174,0.133739,0.922092
678,0.93174,0.133739,0.922092
679,0.934948,0.111504,0.928275
680,0.934948,0.111504,0.928275
681,0.931147,0.0797569,0.927725
682,0.931147,0.0797569,0.927725
683,0.931147,0.0797569,0.927725
684,0.931147,0.0797569,0.927725
685,0.932408,0.137257,0.92225
686,0.931664,0.165571,0.916833
687,0.933883,0.186401,0.915092
688,0.929129,0.143752,0.917942
689,0.928216,-0.0257583,0.927858
690,0.927527,-0.0518767,0.926075
691,0.934652,0.00900167,0.934608
692,0.934516,-0.0110881,0.93445
693,0.931013,-0.0597872,0.929092
694,0.930447,-0.111506,0.923742
695,0.929969,-0.039209,0.929142
696,0.929969,-0.039209,0.929142
697,0.930759,-0.0589273,0.928892
698,0.931144,-0.0887083,0.926908
699,0.931144,-0.0887083,0.926908
700,0.935443,0.00587086,0.935425
701,0.935443,0.00587086,0.935425
702,0.931664,-0.0457209,0.930542
703,0.930393,-0.0252544,0.93005
704,0.930599,-0.110972,0.923958
705,0.927794,-0.0912108,0.9233
706,0.937421,0.0108145,0.937358
707,0.935754,0.071419,0.933025
708,0.92642,0.160232,0.912458
709,0.926447,0.188423,0.907083
710,0.928797,0.242738,0.896517
711,0.933778,0.271263,0.893508
712,0.933778,0.271263,0.893508
713,0.933778,0.271263,0.893508
714,0.933778,0.271263,0.893508
715,0.933405,0.230194,0.904575
716,0.933405,0.230194,0.904575
717,0.933584,0.136787,0.923508
718,0.936593,0.188596,0.917408
