MDTU,|Tr(L)|,ReTr(L),ImTr(L)
761,3.54495,0.10655,3.54335
762,3.45521,-0.198452,3.44951
763,3.50675,-0.356278,3.48861
764,3.50675,-0.356278,3.48861
765,3.50675,-0.356278,3.48861
766,3.62394,-0.629988,3.56876
767,3.62394,-0.629988,3.56876
768,3.62394,-0.629988,3.56876
769,3.59747,-0.396008,3.57561
770,3.59747,-0.396008,3.57561
771,3.55695,-0.332184,3.54141
772,3.53509,-0.333589,3.51932
773,3.53509,-0.333589,3.51932
774,3.53509,-0.333589,3.51932
775,3.53509,-0.333589,3.51932
776,3.56677,-0.600058,3.51594
777,3.61795,-0.689437,3.55165
778,3.58221,0.132133,3.57977
779,3.54901,0.274681,3.53836
780,3.58856,0.274489,3.57805
781,3.58856,0.274489,3.57805
782,3.58917,-0.0393142,3.58896
783,3.61269,-0.4845,3.58006
784,3.65872,-0.727653,3.58564
785,3.65692,-0.478449,3.62548
786,3.65692,-0.478449,3.62548
787,3.67531,-0.757095,3.59648
788,3.59699,-0.423103,3.57202
789,3.59699,-0.423103,3.57202
790,3.76199,-0.461986,3.73352
791,3.75238,-0.932653,3.63462
792,3.60835,-1.10319,3.43557
