MDTU,S_F
898,0.999573
899,1.00393
900,1.00424
901,1.00044
902,1.00566
903,0.99555
904,0.994217
905,1.00385
906,1.00105
907,1.00522
908,1.00351
909,1.00783
910,1.00358
911,0.994605
912,0.993584
913,1.00518
914,0.998711
915,0.999013
916,1.00309
917,1.00134
918,1.00144
919,0.997789
920,1.00178
921,0.998377
922,1.00602
923,0.997294
924,1.00455
925,1.00286
926,1.00391
927,0.999966
928,1.00197
929,0.997521
930,0.989915
931,1.00203
932,0.997623
933,0.998784
934,0.996319
935,0.995825
936,0.997432
937,0.997053
938,0.997954
939,1.00475
940,0.996557
941,0.999348
942,0.995285
943,1.0035
944,1.00218
945,0.99525
946,0.998626
947,0.996998
948,0.999598
949,0.99864
950,0.996839
951,1.00294
952,0.999869
953,0.993438
954,1.00608
955,0.999513
956,1.00232
957,0.999254
958,1.00274
959,1.00133
960,0.99469
961,1.00465
962,1.00181
963,0.996855
964,1.005
965,1.0017
966,0.989732
967,1.0002
968,0.996806
969,0.999946
970,1.00203
971,0.997828
972,1.00253
973,0.997959
974,0.999614
975,0.996249
976,1.00037
977,1.00196
978,1.00266
979,1.00152
980,0.996619
981,1.00568
982,1.0076
983,1.00397
984,0.997586
985,0.99974
986,1.00079
987,0.999207
988,0.995194
989,0.99729
990,0.995636
991,1.00816
992,0.999751
993,1.00826
994,1.00253
995,1.00302
996,0.995451
997,1.00041
998,1.00344
999,1.00105
1000,1.0068
1001,0.998183
1002,1.00242
1003,0.997998
1004,1.00025
1005,1.00058
1006,1.00057
1007,1.0031
1008,1.00323
1009,0.996727
1010,0.997419
1011,0.999181
1012,0.999388
1013,1.00051
1014,1.00139
1015,0.997312
1016,0.995943
1017,1.00647
1018,1.00151
1019,1.00042
1020,1.00878
1021,1.00121
1022,1.00294
1023,1.00186
1024,1.00479
1025,0.997022
1026,0.996985
1027,1.0029
1028,1.00287
1029,1.00263
1030,1.0033
1031,0.995998
1032,0.997102
1033,0.994779
1034,0.99959
1035,0.995377
1036,1.00259
1037,1.00194
1038,1.00476
1039,1.00805
1040,0.999507
1041,1.00134
1042,0.997556
1043,1.00807
1044,1.00155
1045,1.00008
1046,1.00319
1047,0.998045
1048,1.00398
1049,1.00466
1050,1.00386
1051,1.00058
1052,0.99506
1053,0.994291
1054,1.00258
1055,1.00217
1056,0.999133
1057,0.998053
1058,0.999451
1059,1.00068
1060,0.999376
1061,0.998902
1062,1.0048
1063,0.998096
1064,1.00075
1065,0.99818
1066,1.00213
1067,1.00343
1068,0.999681
1069,0.99685
1070,0.998886
1071,1.00057
1072,1.00198
1073,0.999738
1074,0.999101
1075,0.997127
1076,1.00525
1077,0.99901
1078,0.998243
1079,0.996652
1080,1.00523
1081,0.995626
1082,0.999272
1083,1.00123
1084,0.996815
1085,1.00189
1086,1.00324
1087,1.00495
1088,0.996389
1089,1.00235
1090,1.00147
1091,1.00042
1092,1.0036
1093,1.00221
1094,1.0029
1095,0.994812
1096,0.993433
1097,0.997983
1098,1.00267
1099,0.995561
1100,0.999868
1101,1.00115
1102,0.998577
1103,0.996768
1104,1.00115
1105,0.994707
1106,1.0017
1107,1.00478
1108,0.998676
1109,1.00074
1110,0.999351
1111,1.00129
1112,0.998466
1113,0.997208
1114,0.997708
1115,1.00251
1116,1.00246
1117,0.999959
1118,1.00096
1119,1.00011
1120,1.00294
1121,0.994939
1122,0.993088
1123,1.00319
1124,1.00139
1125,0.998368
1126,0.995917
1127,1.00291
1128,1.00039
1129,0.997865
1130,1.00529
1131,1.00106
1132,1.00056
1133,0.994725
1134,0.998375
1135,0.996555
1136,1.00045
1137,1.00026
1138,1.00332
1139,1.00421
1140,1.00471
1141,1.00409
1142,0.994369
1143,1.00415
1144,0.994875
1145,0.997195
1146,0.997514
1147,0.995904
1148,1.00505
1149,0.999417
1150,1.00062
1151,1.00091
1152,0.999286
1153,1.0035
1154,0.993965
1155,1.00232
1156,1.0024
1157,1.00041
1158,0.998001
1159,0.998455
1160,1.00251
1161,0.997534
1162,1.00027
1163,1.00151
1164,1.00437
1165,1.00165
1166,1.00263
1167,1.00001
1168,1.0051
1169,0.998599
1170,0.992736
1171,1.00225
1172,1.00318
1173,1.00468
1174,1.00701
1175,1.00203
1176,1.00153
1177,0.999229
1178,1.00042
1179,1.00398
1180,1.00044
1181,0.995523
1182,1.00455
1183,0.999127
1184,0.999431
1185,0.998096
1186,0.999103
1187,0.999853
1188,0.999865
1189,0.994087
1190,0.997338
1191,0.99727
1192,1.00224
1193,1.00047
1194,1.00122
1195,1.00436
1196,0.996188
1197,1.00213
1198,0.999113
1199,0.997556
1200,0.994326
1201,0.999629
1202,0.992162
1203,0.993127
1204,1.00177
1205,0.999197
1206,1.00163
1207,1.00191
1208,0.999071
1209,0.99808
1210,0.99858
1211,0.992692
1212,1.00171
1213,1.0067
1214,0.994825
1215,0.998364
1216,0.999698
1217,1.00125
1218,0.998188
1219,1.00729
1220,0.995768
1221,0.997102
1222,1.0009
1223,1.00252
1224,1.0011
1225,1.00385
1226,0.998124
1227,1.00405
1228,1.00301
1229,0.994211
1230,1.00321
1231,1.00185
1232,1.00294
1233,0.998579
1234,1.00642
1235,0.993352
1236,1.00079
1237,1.00269
1238,1.00166
1239,0.998658
1240,1.00194
1241,1.00769
1242,0.995934
1243,0.992203
1244,0.996031
1245,1.00247
1246,0.998483
1247,1.00184
1248,0.999159
1249,1.0002
1250,1.00376
1251,0.997573
1252,1.00704
1253,1.00565
1254,0.998729
1255,0.995474
1256,0.997118
1257,1.00164
1258,1.0036
1259,0.997928
1260,1.00349
1261,1.00608
1262,1.00267
1263,0.999611
1264,0.99651
1265,0.999348
1266,1.00068
1267,1.00206
1268,1.00122
1269,1.00087
1270,0.998211
1271,0.997432
1272,0.999388
1273,0.997221
1274,0.997639
1275,1.00327
1276,0.999311
1277,0.998711
1278,1.00003
1279,0.997707
1280,1.00109
1281,1.00171
1282,0.993641
1283,1.00626
1284,1.00007
1285,0.991311
1286,0.996107
1287,1.00512
1288,1.00472
1289,0.997855
1290,0.997424
1291,1.00109
1292,1.00423
1293,0.998063
1294,0.994335
1295,1.00015
1296,1.00123
1297,0.995577
1298,1.00063
1299,1.00293
1300,1.00107
1301,1.00184
1302,1.00078
1303,1.00058
1304,1.00336
1305,1.00132
1306,0.996374
1307,1.00295
1308,0.995936
1309,1.00245
1310,0.99997
1311,0.997156
1312,0.997449
1313,1.00846
1314,1.00112
1315,1.00081
1316,0.993634
1317,0.999402
1318,1.0023
1319,1.00748
1320,1.00309
1321,1.00385
1322,1.0006
1323,1.00085
1324,1.00148
1325,0.997237
1326,1.00168
1327,0.996008
1328,1.00208
1329,0.999266
1330,0.998374
1331,0.999327
1332,1.00112
1333,0.996418
1334,0.999026
1335,0.997748
1336,1.00033
1337,1.00102
1338,1.00062
1339,1.0057
1340,0.994637
1341,1.00262
1342,0.999088
1343,1.00373
1344,0.99875
1345,1.003
1346,1.00184
1347,0.999404
1348,0.999042
1349,1.00272
1350,1.00043
1351,0.994406
1352,1.00062
1353,0.996263
1354,0.999919
1355,0.995096
1356,1.00495
1357,1.00311
1358,1.00047
1359,1.00046
1360,0.996714
1361,1.00072
1362,0.99914
1363,1.00089
1364,1.00039
1365,0.990497
1366,1.0073
1367,1.00041
1368,0.998341
1369,1.00883
1370,0.995545
1371,1.00351
1372,0.999229
1373,0.99761
1374,1.00306
1375,0.999725
1376,0.9968
1377,1.00284
1378,1.0023
1379,1.00055
1380,0.994439
1381,0.998276
1382,0.994033
1383,0.994472
1384,1.0009
1385,1.00101
1386,0.994484
1387,1.00407
1388,0.99899
1389,1.00797
1390,0.999697
1391,1.00159
1392,1.00452
1393,1.00428
1394,1.00124
1395,0.999318
1396,1.00557
1397,0.99946
1398,1.00044
1399,0.996713
1400,1.00053
1401,1.00132
1402,1.00283
1403,0.998415
1404,1.00606
1405,1.00051
1406,1.00149
1407,1.00326
1408,0.995879
1409,0.998398
1410,1.00089
1411,0.989697
1412,0.998672
1413,1.00319
1414,0.997604
1415,1.00174
1416,0.998725
1417,1.00548
1418,0.996454
1419,1.00023
1420,0.998497
1421,1.00264
1422,0.996074
1423,0.995265
1424,1.00157
1425,1.00082
1426,1.00167
1427,1.00228
1428,0.999105
1429,1.00063
1430,0.995382
1431,1.00168
1432,0.992264
1433,0.995938
1434,1.00432
1435,1.0003
1436,1.00556
1437,0.996336
1438,1.00447
1439,1.00079
1440,1.00126
1441,1.00511
1442,1.0007
1443,1.00441
1444,0.998418
1445,0.999553
1446,1.00254
1447,0.996455
1448,0.996081
1449,0.999145
1450,0.99659
1451,1.0035
1452,1.00738
1453,1.00171
1454,0.99901
1455,0.999872
1456,1.00482
1457,1.00529
1458,0.997044
1459,1.00458
1460,1.00156
1461,0.998049
1462,1.00284
1463,1.0047
1464,1.00497
1465,1.00098
1466,0.998307
1467,1.00073
1468,1.00349
1469,0.998666
1470,0.997318
1471,1.00636
1472,1.00025
1473,1.00518
1474,0.993305
1475,0.998303
1476,0.998176
1477,0.993806
1478,1.00019
1479,1.00126
1480,0.995938
1481,0.999855
1482,1.00149
1483,0.999969
1484,1.00038
1485,0.998865
1486,0.998678
1487,0.98916
1488,0.997141
1489,1.00059
1490,1.00302
1491,0.997252
1492,1.00102
1493,1.00552
1494,0.995126
1495,1.00177
1496,1.00036
1497,1.00018
1498,1.00165
1499,1.00277
1500,0.998984
1501,0.997057
1502,1.0025
1503,1.00054
1504,1.00214
1505,1.00226
1506,0.997666
1507,1.00115
1508,1.00054
1509,1.00837
1510,1.00143
1511,1.00126
1512,0.991073
1513,1.00687
1514,0.998818
1515,1.00014
1516,1.00135
1517,1.00066
1518,0.99501
1519,0.999072
1520,1.00418
1521,1.00148
1522,1.00761
1523,1.00333
1524,1.00155
1525,0.996009
1526,0.997307
1527,0.998334
1528,1.00677
1529,0.998717
1530,1.00673
1531,1.00315
1532,0.996989
1533,0.997393
1534,1.00103
1535,0.996697
1536,0.994329
1537,0.998447
1538,0.997431
1539,0.995819
1540,0.995947
1541,1.0025
1542,0.998993
1543,1.00605
1544,1.00208
1545,0.998796
1546,0.995466
1547,1.00148
1548,1.00078
1549,0.994861
1550,0.999413
1551,1.00074
1552,0.99622
1553,0.999705
1554,1.00494
1555,0.997217
1556,0.999017
1557,1.00699
1558,1.00412
1559,0.997546
1560,0.999496
1561,0.993026
1562,0.998961
1563,0.998604
1564,0.996855
1565,0.994872
1566,1.0029
1567,1.00089
1568,0.998214
1569,1.00245
1570,1.00261
