MDTU,|det-1|^2,1-Re(det),Im(det)
653,1,1,3.19152e-24
654,1,1,-4.1159e-23
655,1,1,2.27894e-23
656,1,1,2.27894e-23
657,1,1,1.04992e-24
658,1,1,1.04992e-24
659,1,1,1.04992e-24
660,1,1,1.04992e-24
661,1,1,1.04991e-24
662,1,1,-4.47377e-24
663,1,1,-2.17106e-24
664,1,1,-2.17106e-24
665,1,1,2.18693e-24
666,1,1,2.18693e-24
667,1,1,-4.30352e-24
668,1,1,-4.30352e-24
669,1,1,2.46076e-23
670,1,1,2.46076e-23
671,1,1,2.46076e-23
672,1,1,2.46076e-23
673,1,1,1.29371e-23
674,1,1,3.75838e-24
675,1,1,3.51402e-24
676,1,1,-2.51073e-23
677,1,1,-2.51073e-23
678,1,1,-2.51073e-23
679,1,1,2.90782e-23
680,1,1,2.90782e-23
681,1,1,1.86814e-24
682,1,1,1.86814e-24
683,1,1,1.86814e-24
684,1,1,1.86814e-24
685,1,1,3.75657e-24
686,1,1,9.16102e-25
687,1,1,-1.25481e-23
688,1,1,2.00735e-24
689,1,1,1.32667e-23
690,1,1,-1.44715e-23
691,1,1,-3.39186e-24
692,1,1,-2.34423e-24
693,1,1,-2.89674e-23
694,1,1,-4.31042e-24
695,1,1,-8.68543e-25
696,1,1,-8.68543e-25
697,1,1,2.17703e-23
698,1,1,-6.70018e-24
699,1,1,-6.70018e-24
700,1,1,-3.56893e-24
701,1,1,-3.56893e-24
702,1,1,1.26788e-23
703,1,1,-7.37869e-24
704,1,1,3.95689e-24
705,1,1,1.06433e-23
706,1,1,-4.9965e-24
707,1,1,-5.50579e-24
708,1,1,7.63166e-24
709,1,1,5.4654e-25
710,1,1,-3.12509e-23
711,1,1,1.81557e-23
712,1,1,1.81557e-23
713,1,1,1.81557e-23
714,1,1,1.81557e-23
715,1,1,5.76737e-24
716,1,1,5.76737e-24
717,1,1,1.05655e-23
718,1,1,-1.9037e-24
719,1,1,-2.17782e-24
720,1,1,-2.44351e-24
721,1,1,4.6941e-24
722,1,1,-4.66499e-24
723,1,1,-4.66499e-24
724,1,1,1.84241e-23
725,1,1,9.24096e-25
726,1,1,9.24096e-25
727,1,1,9.08035e-24
728,1,1,-2.31132e-25
729,1,1,-2.88885e-25
730,1,1,-2.88885e-25
731,1,1,-2.88886e-25
732,1,1,-4.49768e-24
733,1,1,-4.49768e-24
734,1,1,-1.26737e-24
735,1,1,1.38565e-24
736,1,1,-1.70961e-24
737,1,1,6.85411e-25
738,1,1,-3.27998e-24
739,1,1,-3.27998e-24
740,1,1,-1.46752e-23
741,1,1,9.33064e-24
742,1,1,9.33064e-24
743,1,1,-3.35686e-24
744,1,1,-3.35686e-24
745,1,1,-3.37375e-24
746,1,1,-7.31812e-24
747,1,1,4.5057e-24
748,1,1,-1.15966e-23
749,1,1,-1.03569e-23
750,1,1,3.48216e-24
751,1,1,3.48216e-24
752,1,1,-7.74507e-24
753,1,1,1.75713e-24
754,1,1,3.66696e-24
755,1,1,4.62398e-24
756,1,1,-8.25104e-24
757,1,1,-8.25104e-24
758,1,1,6.6712e-24
759,1,1,6.6712e-24
760,1,1,6.6712e-24
761,1,1,6.67121e-24
762,1,1,-2.43809e-23
763,1,1,-2.81329e-23
764,1,1,-2.81329e-23
765,1,1,-2.81329e-23
766,1,1,7.16385e-24
767,1,1,7.16385e-24
768,1,1,7.16385e-24
769,1,1,6.21147e-24
770,1,1,6.21147e-24
771,1,1,-4.43354e-24
772,1,1,-1.11082e-23
773,1,1,-1.11082e-23
774,1,1,-1.11082e-23
775,1,1,-1.11082e-23
776,1,1,4.89606e-23
777,1,1,2.23e-23
778,1,1,1.49598e-24
779,1,1,-6.0052e-24
780,1,1,-6.2339e-24
781,1,1,-6.2339e-24
782,1,1,-3.52034e-27
783,1,1,-1.99641e-24
784,1,1,-7.17692e-24
785,1,1,4.49591e-24
786,1,1,4.49591e-24
787,1,1,7.40261e-24
788,1,1,-4.45144e-24
789,1,1,-4.45144e-24
790,1,1,1.3162e-24
791,1,1,2.26449e-24
792,1,1,1.26999e-23
793,1,1,1.01403e-23
794,1,1,-4.12615e-24
795,1,1,2.81746e-23
796,1,1,-8.09835e-24
797,1,1,2.40415e-24
798,1,1,6.72671e-24
799,1,1,7.87224e-24
800,1,1,7.87224e-24
801,1,1,7.87224e-24
802,1,1,1.41385e-24
803,1,1,5.6254e-24
804,1,1,5.6254e-24
805,1,1,5.6254e-24
806,1,1,1.43192e-23
807,1,1,1.43192e-23
808,1,1,-3.34385e-24
809,1,1,-3.34385e-24
810,1,1,-1.41932e-23
811,1,1,-5.09442e-24
812,1,1,-5.09442e-24
813,1,1,4.96074e-23
814,1,1,-4.82074e-24
815,1,1,-4.82074e-24
816,1,1,-4.82074e-24
817,1,1,4.70953e-24
818,1,1,4.70953e-24
819,1,1,-1.84237e-23
820,1,1,-1.84237e-23
821,1,1,5.8609e-24
822,1,1,-2.90383e-24
823,1,1,2.25709e-23
824,1,1,1.28485e-23
825,1,1,3.98424e-24
826,1,1,4.69139e-24
827,1,1,-6.59733e-25
828,1,1,-5.26035e-23
829,1,1,-2.91933e-24
830,1,1,-2.91933e-24
831,1,1,-2.91934e-24
832,1,1,-3.6983e-24
833,1,1,-1.99048e-24
834,1,1,-1.99048e-24
835,1,1,1.4805e-24
836,1,1,1.10168e-24
837,1,1,1.10168e-24
838,1,1,1.10168e-24
839,1,1,-6.93281e-25
840,1,1,4.14282e-24
841,1,1,4.14282e-24
842,1,1,-1.64996e-23
843,1,1,-1.64996e-23
844,1,1,-3.84989e-23
845,1,1,1.53878e-24
846,1,1,-6.34796e-24
847,1,1,-6.34796e-24
848,1,1,-4.94247e-25
849,1,1,-4.94247e-25
850,1,1,-9.95263e-25
851,1,1,4.08027e-24
852,1,1,4.08027e-24
853,1,1,4.2543e-24
854,1,1,4.54993e-24
855,1,1,8.32831e-25
856,1,1,8.32831e-25
857,1,1,5.87076e-24
858,1,1,5.87076e-24
859,1,1,-7.54444e-24
860,1,1,-7.54444e-24
861,1,1,-7.54444e-24
862,1,1,-1.44478e-23
863,1,1,2.37193e-24
864,1,1,7.25587e-24
865,1,1,2.31509e-25
866,1,1,2.40695e-24
867,1,1,2.40695e-24
868,1,1,6.23539e-24
869,1,1,6.23539e-24
870,1,1,1.25187e-23
871,1,1,-3.96243e-23
872,1,1,1.40491e-23
873,1,1,2.55865e-23
874,1,1,2.55865e-23
875,1,1,2.55865e-23
876,1,1,8.77569e-24
877,1,1,-1.97341e-23
878,1,1,-5.6254e-24
879,1,1,-5.6254e-24
880,1,1,2.05705e-25
881,1,1,2.05705e-25
882,1,1,9.13024e-25
883,1,1,3.62685e-24
884,1,1,3.62685e-24
885,1,1,-6.16276e-25
886,1,1,-6.16276e-25
887,1,1,4.93394e-24
888,1,1,4.93394e-24
889,1,1,4.93394e-24
890,1,1,-3.01634e-24
891,1,1,4.05395e-24
892,1,1,6.57443e-24
893,1,1,2.95422e-24
894,1,1,-7.04986e-25
895,1,1,-7.04986e-25
896,1,1,-2.08816e-24
897,1,1,2.27973e-25
898,1,1,2.27973e-25
899,1,1,6.05899e-24
900,1,1,6.05899e-24
901,1,1,6.07038e-24
902,1,1,6.07038e-24
903,1,1,6.07038e-24
904,1,1,2.71561e-24
905,1,1,2.71561e-24
906,1,1,1.94683e-24
907,1,1,1.94683e-24
908,1,1,1.94683e-24
909,1,1,1.94683e-24
910,1,1,-6.66771e-24
911,1,1,-6.66771e-24
912,1,1,-6.66771e-24
913,1,1,4.03985e-25
914,1,1,4.03985e-25
915,1,1,4.03985e-25
916,1,1,4.03985e-25
917,1,1,4.04741e-24
918,1,1,1.1623e-24
919,1,1,-1.60086e-23
920,1,1,-1.29038e-23
921,1,1,-1.29038e-23
922,1,1,-4.46201e-25
923,1,1,-2.49055e-25
924,1,1,-1.00272e-23
925,1,1,-6.38813e-23
926,1,1,6.30024e-24
927,1,1,-1.1733e-23
928,1,1,-1.25731e-25
929,1,1,-1.51451e-23
930,1,1,-7.14779e-24
931,1,1,-4.51595e-24
932,1,1,-4.51595e-24
933,1,1,-4.51595e-24
934,1,1,5.93633e-25
935,1,1,-2.24093e-23
936,1,1,-2.24093e-23
937,1,1,1.06229e-23
938,1,1,1.06229e-23
939,1,1,-6.03747e-24
940,1,1,-6.03747e-24
941,1,1,1.19639e-24
942,1,1,1.19639e-24
943,1,1,4.73633e-24
944,1,1,2.04219e-23
945,1,1,-9.95048e-25
946,1,1,3.6766e-24
947,1,1,3.6766e-24
948,1,1,-5.45866e-24
949,1,1,-5.45866e-24
950,1,1,-2.01607e-23
951,1,1,-2.01607e-23
952,1,1,-2.01607e-23
953,1,1,-1.20192e-24
954,1,1,-2.08985e-23
955,1,1,-2.08985e-23
956,1,1,-6.70851e-25
957,1,1,-5.23086e-24
958,1,1,1.99275e-23
959,1,1,1.99275e-23
960,1,1,-1.66276e-23
