MDTU,min_min,min_max,max_min,max_max5
248,-0.1524,0.0144039,-0.0183739,0.13702
249,-0.145696,0.0114507,-0.00759463,0.122693
250,-0.158146,0.0020944,-0.00986711,0.129798
251,-0.175864,0.0136296,-0.0172465,0.128592
252,-0.170744,0.00141767,-0.0109455,0.127926
253,-0.159136,0.0142419,-0.00776445,0.132556
254,-0.159136,0.0142419,-0.00776445,0.132556
255,-0.152297,0.0269724,-0.0219991,0.142762
256,-0.138427,0.0210251,-0.00312942,0.131578
257,-0.138427,0.0210251,-0.00312942,0.131578
258,-0.150662,0.0297882,-0.00525197,0.146456
259,-0.150662,0.0297882,-0.00525197,0.146456
260,-0.138372,0.00849432,-2.46228e-05,0.129055
261,-0.139825,0.00372281,-0.000965136,0.122985
262,-0.149531,0.0230424,-0.00462567,0.125703
263,-0.139783,-0.000757424,-0.00112001,0.115565
264,-0.145992,0.00210589,-0.00740833,0.122973
265,-0.145992,0.00210589,-0.00740833,0.122973
266,-0.145992,0.00210589,-0.00740833,0.122973
267,-0.145992,0.00210589,-0.00740833,0.122973
268,-0.137837,-0.00709804,-0.00510105,0.118734
269,-0.151755,0.0119833,-0.0144916,0.135882
270,-0.151755,0.0119833,-0.0144916,0.135882
271,-0.151755,0.0119833,-0.0144916,0.135882
272,-0.144467,0.00601963,-0.00435176,0.116971
273,-0.160182,0.0065982,-0.0189089,0.138445
274,-0.164019,0.00268541,0.00128189,0.117659
275,-0.15139,0.00726427,-0.0169551,0.123852
276,-0.15139,0.00726427,-0.0169551,0.123852
277,-0.153953,0.00183917,-0.0158101,0.114011
278,-0.169199,0.00429392,-0.0215269,0.117374
279,-0.162127,0.00530548,-0.0223906,0.118655
280,-0.150649,-0.0121213,-0.0202486,0.108704
281,-0.163773,0.00754426,-0.0247614,0.128683
282,-0.169855,0.000871529,-0.0215358,0.123994
283,-0.160256,-0.00373187,-0.0194809,0.118933
284,-0.176408,-0.00159671,-0.0231835,0.109626
285,-0.176408,-0.00159671,-0.0231835,0.109626
286,-0.168532,-0.00136138,-0.0243137,0.11792
287,-0.161375,-0.0129813,-0.0195181,0.112305
288,-0.169689,0.00383846,-0.0310171,0.126019
289,-0.160959,0.00845826,-0.00772343,0.121523
290,-0.134487,0.00716336,-0.00297991,0.116632
291,-0.153837,0.00732914,-0.0109564,0.131612
292,-0.147165,0.0172132,-0.00831304,0.124653
293,-0.159713,0.0159689,-0.00999395,0.135429
294,-0.158995,0.0112817,-0.00810658,0.127232
295,-0.132219,0.0105065,-0.00485062,0.120332
296,-0.133944,0.00791342,-0.0024979,0.127233
297,-0.133944,0.00791342,-0.0024979,0.127233
298,-0.126162,0.00247432,0.00852494,0.126568
299,-0.125839,0.00747122,0.0120019,0.119145
300,-0.124898,8.86594e-05,0.0119052,0.12476
301,-0.138843,0.0156937,0.00391844,0.136516
302,-0.138041,0.0192094,-0.00703347,0.131168
303,-0.138041,0.0192094,-0.00703347,0.131168
304,-0.143096,0.0122093,-0.000824328,0.126141
305,-0.143096,0.0122093,-0.000824328,0.126141
306,-0.158824,0.0232392,0.00229048,0.129844
307,-0.136268,0.0118051,4.0104e-05,0.123567
308,-0.161523,0.0175871,-0.0156098,0.131361
309,-0.144408,0.0160067,-0.00517179,0.130532
310,-0.139196,0.00416425,0.00029425,0.118415
311,-0.144824,-0.00747709,0.0109901,0.115166
312,-0.144824,-0.00747709,0.0109901,0.115166
313,-0.143286,-0.0105072,0.00380334,0.116273
314,-0.144753,-0.000574258,-0.00370099,0.110713
315,-0.144753,-0.000574258,-0.00370099,0.110713
316,-0.149601,0.0014532,-0.000146238,0.114664
317,-0.146355,0.00716217,-0.00494777,0.127658
318,-0.128932,-0.00736613,0.00552132,0.109722
319,-0.128932,-0.00736613,0.00552132,0.109722
320,-0.148904,0.0129762,0.00137922,0.115424
