MDTU,susyTrans,Im(bilin)
3380,-0.00319643,-1.0809e-06
3390,-0.00602733,2.41975e-07
3400,-0.0335955,-2.38956e-06
3410,-0.0101276,6.04117e-06
3420,0.00741245,1.51733e-05
3430,-0.0168635,-1.72002e-06
3440,0.00266831,-2.69613e-07
3450,-0.0366494,2.87624e-06
3460,0.0174041,2.77891e-06
3470,-0.0077336,1.53897e-05
3480,-0.0194926,-3.00783e-06
3490,-0.0171817,8.12032e-06
3500,0.0139059,8.5797e-06
