MDTU,0,2,4,6,8,10
1660,0.0220628,0.0220816,0.0247832,0.0249982,0.0250434,0.0252587
1670,0.0248961,0.0250797,0.0256815,0.0258703,0.0271686,0.0274516
1680,0.0225808,0.0227445,0.0240862,0.0242462,0.0248659,0.0250288
1690,0.0263952,0.0264465,0.0270317,0.0272125,0.0286416,0.0288373
1700,0.0243645,0.0244159,0.0259761,0.0260388,0.02622,0.0265592
1710,0.0265251,0.0266338,0.0271008,0.0271816,0.0280808,0.0283415
1720,0.0243058,0.0243789,0.0253818,0.0254765,0.0262208,0.0263693
1730,0.0248577,0.0250339,0.02763,0.0277863,0.0278616,0.0280215
1740,0.0257896,0.0258551,0.027533,0.0277129,0.0278671,0.0280113
1750,0.0234007,0.0234063,0.024778,0.0248197,0.0253557,0.025944
1760,0.0265822,0.026673,0.0286479,0.0288205,0.0294853,0.0297627
1770,0.0250161,0.0250717,0.0270302,0.0270955,0.0272263,0.0272815
1780,0.0228436,0.0228772,0.024479,0.0245134,0.0252668,0.0254457
1790,0.0261382,0.0262261,0.027729,0.0277495,0.0284414,0.0288564
1800,0.0241083,0.02431,0.0255245,0.0255824,0.0261127,0.0262718
1810,0.024113,0.0242112,0.0251659,0.0251723,0.0255579,0.0257345
1820,0.0238772,0.0239116,0.0254813,0.0256999,0.0263793,0.0263821
1830,0.0247934,0.0250231,0.027183,0.0273153,0.027945,0.0280734
1840,0.0249151,0.0251539,0.0262205,0.026371,0.0267097,0.0271395
1850,0.0254773,0.025539,0.0260458,0.0263137,0.0269121,0.0269765
1860,0.0249844,0.0252287,0.0267466,0.0269545,0.0271687,0.027438
1870,0.0230136,0.0231871,0.0236458,0.0237117,0.0239275,0.0241159
1880,0.0227126,0.0229441,0.0250971,0.0252993,0.0267201,0.0270721
1890,0.0229465,0.0229502,0.0242098,0.024215,0.0262153,0.0266902
1900,0.0241096,0.0242622,0.0253554,0.025501,0.0263059,0.0263958
1910,0.023713,0.0237378,0.024713,0.0248483,0.025468,0.0258803
1920,0.0244173,0.0245539,0.0255088,0.0255876,0.0270689,0.027143
1930,0.0255292,0.0256743,0.0268614,0.0268978,0.0277014,0.0281545
1940,0.0239627,0.0243513,0.0245113,0.0249286,0.0256273,0.0257628
1950,0.0228074,0.0232039,0.0242386,0.0243629,0.0245343,0.0247436
1960,0.0271553,0.0274166,0.0277715,0.0278057,0.0295154,0.0297158
1970,0.0239665,0.0243596,0.0252748,0.0256547,0.0262054,0.0262581
1980,0.0233983,0.0235761,0.0248002,0.0248303,0.0261534,0.0267107
1990,0.0226849,0.0227373,0.0245461,0.0247003,0.025596,0.0257554
2000,0.0239165,0.0240958,0.0256775,0.025892,0.0259964,0.0264133
2010,0.0249271,0.0252157,0.02705,0.0275022,0.0275833,0.0279363
2020,0.0236823,0.0238102,0.0246875,0.0248928,0.0261889,0.0265202
2030,0.0242915,0.024374,0.0252306,0.0253635,0.0265418,0.0266387
2040,0.024916,0.0250295,0.026525,0.0266754,0.0276331,0.0277382
2050,0.0256355,0.0257213,0.0269492,0.0270337,0.0273982,0.027416
2060,0.0259197,0.0260645,0.0273409,0.0274174,0.0282283,0.0283732
2070,0.0220952,0.0223039,0.0235091,0.0239394,0.025801,0.025935
2080,0.0247296,0.0249987,0.0255743,0.0256887,0.025973,0.0261897
2090,0.0240354,0.024153,0.0251002,0.0251165,0.0263469,0.0267571
2100,0.0240978,0.0242428,0.0255888,0.0257388,0.0258083,0.0260032
2110,0.0206721,0.0207338,0.0221274,0.0223291,0.0238144,0.0238943
2120,0.0212269,0.0214625,0.0238038,0.0241925,0.0246871,0.0247976
2130,0.0268025,0.0268841,0.027623,0.0278755,0.0288378,0.0291085
2140,0.0244992,0.0245974,0.0259359,0.0262385,0.0277494,0.028325
2150,0.0259712,0.0260403,0.0270254,0.0271161,0.0271474,0.0272064
2160,0.0255899,0.0259585,0.026519,0.0267554,0.0270781,0.0272593
2170,0.0257578,0.0259273,0.02641,0.0265682,0.0269604,0.0271139
2180,0.0265222,0.0269046,0.0279015,0.0281234,0.0283948,0.0285818
2190,0.0250475,0.0251655,0.0270082,0.0270609,0.0271947,0.0273902
2200,0.0243256,0.0243372,0.0262883,0.0263184,0.026598,0.0271686
2210,0.0272793,0.0275966,0.0277469,0.0281466,0.0281997,0.0283078
2220,0.0235753,0.0236586,0.0246,0.0248875,0.0258147,0.0258244
2230,0.0253015,0.0254882,0.0258611,0.0260333,0.0267639,0.026804
2240,0.0227527,0.0227887,0.0243726,0.0246912,0.0252416,0.0255359
2250,0.0283855,0.0284342,0.028709,0.0288344,0.0290049,0.0293055
