t,e^(-dS)
1161,0.844171
1162,0.935466
1163,1.18128
1164,1.04459
1165,1.08206
1166,1.72202
1167,0.450364
1168,0.936299
1169,0.700333
1170,1.74229
1171,0.984344
1172,1.89686
1173,0.43483
1174,0.467994
1175,1.06986
1176,0.951876
1177,0.734989
1178,1.43649
1179,0.617424
1180,0.968303
1181,0.822094
1182,0.691702
1183,1.64477
1184,0.779892
1185,0.857701
1186,1.05466
1187,1.46404
1188,0.993871
1189,1.11394
1190,0.710703
1191,0.953448
1192,1.04317
1193,0.840129
1194,0.64365
1195,0.91731
1196,0.725351
1197,0.962703
1198,1.24396
1199,0.734475
1200,1.27762
1201,0.662126
1202,0.955099
1203,0.797
1204,1.19315
1205,1.73204
1206,1.24957
1207,0.96719
1208,1.07295
1209,0.695934
1210,0.992132
1211,0.68901
1212,2.14149
1213,1.1761
1214,2.11637
1215,1.15731
1216,0.872057
1217,0.645584
1218,0.512887
1219,0.634829
1220,0.741856
1221,1.64033
1222,0.744383
1223,0.767666
1224,0.875991
1225,0.811882
1226,1.41907
1227,0.913611
1228,0.834519
1229,0.809046
1230,0.713552
1231,0.55811
1232,0.564283
1233,0.933934
1234,1.04127
1235,0.773523
1236,2.12612
1237,0.668646
1238,0.986384
1239,0.961145
1240,0.804447
1241,0.94894
1242,0.619402
1243,0.445838
1244,0.685642
1245,1.5115
1246,0.870576
1247,1.10485
1248,0.659482
1249,0.793263
1250,0.679431
1251,0.603868
1252,1.32711
1253,0.980307
1254,0.990787
1255,0.478883
1256,1.22826
1257,1.02589
1258,1.70182
1259,0.618165
1260,0.801076
1261,1.60143
1262,0.768973
1263,1.22262
1264,0.892793
1265,1.62515
1266,0.935251
1267,1.10003
1268,0.752315
1269,0.531634
1270,0.420925
1271,0.848827
1272,1.33656
1273,0.855217
1274,1.39585
1275,0.582515
1276,0.678955
1277,0.766899
1278,1.24558
1279,0.828698
1280,1.17175
1281,0.912817
1282,0.972914
1283,0.865888
1284,1.67297
1285,0.493269
1286,0.587311
1287,1.20298
1288,0.986985
1289,0.834853
1290,2.1745
1291,1.34541
1292,1.07275
1293,0.599536
1294,0.503586
1295,0.477257
1296,1.66512
1297,0.593036
1298,1.06261
1299,1.51044
1300,0.998101
1301,0.706735
1302,1.16684
1303,0.866667
1304,1.84892
1305,0.91247
1306,1.53066
1307,1.24123
1308,0.634829
1309,0.709
1310,1.24895
1311,0.818076
1312,1.0277
1313,1.58502
1314,0.732641
1315,0.393687
1316,0.742747
1317,1.05458
1318,0.730592
1319,0.393372
1320,0.572353
1321,1.11516
1322,0.79255
1323,1.00882
1324,0.919772
1325,0.932068
1326,0.82961
1327,0.526397
1328,0.62419
1329,0.625815
1330,0.661001
1331,1.0866
1332,0.857358
1333,1.55147
1334,0.818321
1335,1.0632
1336,1.52653
1337,0.847894
1338,1.15235
1339,1.64181
1340,1.23281
1341,0.87529
1342,0.837947
1343,0.889229
1344,0.800435
1345,0.64539
1346,0.673141
1347,0.64076
1348,1.40228
1349,1.68725
1350,1.08998
1351,0.723323
1352,0.562311
1353,1.04697
1354,1.29823
1355,0.851718
1356,1.59393
1357,0.585259
1358,0.600616
1359,0.886477
1360,0.563043
1361,0.925436
1362,0.777633
1363,1.1203
1364,1.38972
1365,1.00969
1366,1.37975
1367,0.730519
1368,0.585025
1369,0.864158
1370,2.02223
1371,1.19949
1372,1.09931
1373,1.02806
1374,1.18128
1375,1.3693
1376,0.684546
1377,1.07096
1378,1.05778
1379,0.693711
1380,0.917814
1381,1.26643
1382,1.86135
1383,0.985713
1384,1.66562
1385,0.737492
1386,1.30447
1387,1.01586
1388,0.976364
1389,1.20683
1390,0.779814
1391,1.13894
1392,0.853764
1393,1.05523
1394,1.03618
1395,0.694266
1396,0.439244
1397,0.843074
1398,1.01736
1399,1.30382
1400,1.78051
1401,0.810909
1402,0.926983
1403,0.832851
1404,0.65116
1405,0.79716
1406,3.21877
1407,0.70723
1408,1.12491
1409,0.603023
1410,0.726876
1411,1.2263
1412,0.687771
1413,1.50381
1414,0.818158
1415,0.8863
1416,0.972845
1417,1.16381
1418,1.23244
1419,0.734915
1420,0.669784
1421,0.701033
1422,0.613976
1423,0.938164
1424,0.748488
1425,0.77391
1426,0.8473
1427,1.01594
1428,0.625878
1429,1.66929
1430,1.05922
1431,1.16172
1432,0.731542
1433,0.600676
1434,1.03746
1435,1.21616
1436,1.18305
1437,0.275546
1438,1.09123
1439,0.599416
1440,0.727748
1441,0.728404
1442,1.34851
1443,0.827125
1444,1.29305
1445,1.16498
1446,0.875115
1447,0.827621
1448,0.778489
1449,0.769434
1450,0.842906
1451,0.979474
1452,0.981474
1453,0.682427
1454,1.58186
1455,0.835187
1456,0.724916
1457,0.761473
1458,0.860794
1459,0.727967
1460,1.32128
1461,1.15569
1462,1.10425
1463,0.834018
1464,1.10348
1465,0.686396
1466,0.856672
1467,1.0681
1468,1.26175
1469,0.807752
1470,1.37603
1471,1.68725
1472,1.25332
1473,0.870837
1474,1.10398
1475,0.928978
1476,0.705393
1477,0.668713
1478,0.986334
1479,0.852059
1480,1.12277
1481,0.966417
1482,0.881968
1483,1.19961
1484,1.04018
1485,0.897987
1486,0.736239
1487,1.24222
1488,0.501476
1489,1.17375
1490,0.964602
1491,1.61204
1492,0.812695
1493,1.17563
1494,0.740596
1495,1.14729
1496,0.833101
1497,0.995812
1498,1.16941
1499,0.818895
1500,0.594164
1501,0.999502
1502,0.807995
1503,0.709922
1504,0.808318
1505,1.51498
1506,1.17304
1507,1.08926
1508,1.47742
1509,1.3295
1510,0.616745
1511,0.823823
1512,0.782157
1513,0.719499
1514,1.17986
1515,0.967945
1516,1.00718
1517,0.831936
1518,0.569441
1519,0.675366
1520,0.858044
1521,0.927948
1522,0.804367
1523,1.53051
1524,1.43476
1525,0.909682
1526,0.955243
1527,1.01396
1528,0.892704
1529,0.647265
1530,0.940899
1531,1.45878
1532,0.637246
1533,1.31706
1534,1.1184
1535,0.534459
1536,1.47108
1537,0.524872
1538,0.506111
1539,1.10827
1540,0.909246
1541,1.12975
1542,0.91384
1543,0.946381
1544,0.848912
1545,0.804849
1546,1.28763
1547,1.31456
1548,0.645584
1549,1.1319
1550,1.21337
1551,1.37273
1552,0.7781
1553,0.656456
1554,0.57041
1555,0.911121
1556,1.01019
1557,0.661662
1558,0.857872
1559,0.998175
1560,0.961039
1561,0.464544
1562,0.939319
1563,1.25332
1564,0.850611
1565,1.22055
1566,0.742004
1567,1.184
1568,0.65129
1569,0.988427
1570,1.18152
1571,1.62142
1572,0.941162
1573,0.77608
1574,0.611402
1575,0.694961
1576,0.868316
1577,0.839709
1578,0.474402
1579,1.10661
1580,0.676854
1581,0.746918
1582,0.945482
1583,1.00799
1584,1.2522
1585,0.659548
1586,0.392076
1587,0.71049
1588,1.01016
1589,0.876779
1590,1.50546
1591,1.13655
1592,0.804125
1593,1.05683
1594,1.32326
1595,1.29046
1596,0.418784
1597,1.30317
1598,0.905109
1599,1.96285
1600,1.31838
1601,0.899515
1602,1.06346
1603,0.724119
1604,0.542319
1605,1.0231
1606,1.60576
1607,0.648042
1608,0.604956
1609,1.62012
1610,0.934774
1611,0.964804
1612,0.980905
1613,1.00098
1614,1.04211
1615,1.83473
1616,1.35419
1617,0.747964
1618,0.915294
1619,1.02854
1620,1.12434
1621,1.39626
1622,0.546511
1623,1.18471
1624,1.89175
1625,0.966185
1626,0.876429
1627,0.88763
1628,1.44658
1629,0.925251
1630,0.670454
1631,0.920747
1632,0.653378
1633,0.836942
1634,0.732567
1635,0.983419
1636,0.669918
1637,1.52151
1638,1.10466
