MDTU,min_ave,max_ave
782,-0.0763349,0.0442939
783,-0.0686383,0.0424879
784,-0.0698294,0.0436768
785,-0.0577291,0.0553529
786,-0.0577291,0.0553529
787,-0.0623556,0.0579465
788,-0.060955,0.0614382
789,-0.0582438,0.0515204
790,-0.0658035,0.0529485
791,-0.064631,0.0483332
792,-0.064631,0.0483332
793,-0.0635798,0.0508815
794,-0.0558052,0.0578108
795,-0.0558052,0.0578108
796,-0.0645194,0.0527119
797,-0.064794,0.0571838
798,-0.0688547,0.0494881
799,-0.0703553,0.0436668
800,-0.0719007,0.0446662
801,-0.0714588,0.0449494
802,-0.0655323,0.0508869
803,-0.065335,0.0522078
804,-0.065335,0.0522078
805,-0.065335,0.0522078
806,-0.0633175,0.0514905
807,-0.0738979,0.0468676
808,-0.0720032,0.0461662
809,-0.0694531,0.0485515
810,-0.065938,0.0504145
811,-0.0664082,0.0440501
812,-0.0704892,0.0445205
813,-0.0726725,0.0446938
814,-0.0726725,0.0446938
815,-0.0726725,0.0446938
816,-0.0647661,0.0460441
817,-0.0695919,0.0484001
818,-0.0695919,0.0484001
819,-0.0732645,0.0511016
820,-0.0681939,0.0462943
821,-0.0733921,0.0440997
822,-0.0712585,0.0479448
823,-0.0772469,0.0508733
824,-0.065747,0.0491938
825,-0.0679888,0.0425068
826,-0.0679888,0.0425068
827,-0.0725403,0.0493488
828,-0.0748048,0.0405385
829,-0.0727478,0.0409648
830,-0.0744426,0.0427576
831,-0.0691773,0.0480787
832,-0.072313,0.0470524
833,-0.0665411,0.0453651
834,-0.0665411,0.0453651
835,-0.0705579,0.0482755
836,-0.070589,0.0469976
837,-0.0713521,0.0493175
838,-0.0703424,0.0500223
839,-0.0849028,0.0385262
840,-0.0864848,0.0492124
841,-0.0864848,0.0492124
842,-0.0723363,0.0443252
843,-0.0863491,0.0400067
844,-0.0863491,0.0400067
845,-0.0804088,0.0477654
846,-0.0787804,0.0471751
847,-0.0697629,0.0487763
848,-0.0678914,0.0479556
849,-0.0656586,0.051493
850,-0.062521,0.04926
851,-0.062521,0.04926
852,-0.0739558,0.0426419
853,-0.0672816,0.0408906
854,-0.0714539,0.0534168
855,-0.0666347,0.0562124
856,-0.0666347,0.0562124
857,-0.066878,0.0495773
858,-0.066878,0.0495773
859,-0.066878,0.0495773
860,-0.0737566,0.0453008
861,-0.0653638,0.0482673
862,-0.0699074,0.051513
863,-0.0699074,0.051513
864,-0.0728072,0.0481741
865,-0.0684608,0.0450679
866,-0.0723713,0.0496085
867,-0.0634018,0.0500616
868,-0.0634018,0.0500616
869,-0.0749581,0.0415172
870,-0.0799976,0.0370253
871,-0.0739086,0.0426729
872,-0.07612,0.041004
873,-0.07612,0.041004
874,-0.075728,0.0415646
875,-0.0767361,0.042663
876,-0.0765719,0.0427453
877,-0.0739821,0.0421057
878,-0.0818392,0.0423032
879,-0.0826114,0.0393463
880,-0.084306,0.037465
881,-0.0761013,0.0389085
882,-0.0752191,0.04742
883,-0.0725916,0.0454666
884,-0.0855976,0.03931
885,-0.0776919,0.0411176
886,-0.0913659,0.0400717
887,-0.0721112,0.0452559
888,-0.079446,0.0413779
889,-0.079446,0.0413779
890,-0.0837343,0.034798
891,-0.0758106,0.0383604
892,-0.0758106,0.0383604
893,-0.0773429,0.0475012
894,-0.0682375,0.045637
895,-0.0726758,0.0442118
896,-0.0755356,0.042663
897,-0.0771577,0.0453695
898,-0.0771577,0.0453695
899,-0.0714062,0.0450646
900,-0.0749827,0.0468796
901,-0.076252,0.0467761
902,-0.076252,0.0467761
