t,|deltaS|
1231,0.7682
1232,0.1141
1233,0.7584
1234,0.001154
1235,0.1296
1236,0.0203
1237,0.648
1238,0.08673
1239,0.03701
1240,0.4422
1241,0.1278
1242,0.2515
1243,1.037
1244,0.1434
1245,0.0455
1246,0.3261
1247,0.01598
1248,0.0854
1249,0.1246
1250,0.3095
1251,0.03529
1252,0.06761
1253,0.599
1254,0.05237
1255,0.1312
1256,0.2013
1257,0.05551
1258,0.09109
1259,0.2036
1260,0.6967
1261,1.002
1262,0.3126
1263,0.03863
1264,0.7531
1265,0.1298
1266,0.5858
1267,0.309
1268,0.5476
1269,0.1227
1270,0.4777
1271,0.6853
1272,0.3488
1273,0.3274
1274,0.6029
1275,0.05191
1276,0.1448
1277,0.2669
1278,0.2441
1279,0.03928
1280,0.2668
1281,0.4565
1282,1.268
1283,0.734
1284,0.7562
1285,0.3194
1286,0.8604
1287,0.6404
1288,0.2011
1289,0.4259
1290,0.5886
1291,0.102
1292,0.9797
1293,0.08782
1294,0.3177
1295,0.01464
1296,0.5001
1297,0.429
1298,0.03079
1299,0.108
1300,0.3069
1301,0.5599
1302,0.1247
1303,0.045
1304,0.2654
1305,1.053
1306,1.006
1307,0.253
1308,0.4923
1309,0.1457
1310,0.6016
1311,0.1621
1312,0.21
1313,0.5961
1314,0.5064
1315,0.02106
1316,0.2467
1317,0.0997
1318,0.5338
1319,0.1818
1320,0.1853
1321,0.5653
1322,0.8343
1323,0.06068
1324,0.05085
1325,0.7785
1326,0.7045
1327,0.1689
1328,0.1011
1329,0.02549
1330,0.01446
1331,0.211
1332,0.1226
1333,0.5617
1334,0.7315
1335,0.3443
1336,0.2101
1337,0.4755
1338,0.3214
1339,0.4299
1340,0.4063
1341,0.1997
1342,0.1399
1343,0.00428
1344,0.3939
1345,0.3024
1346,0.1782
1347,0.1905
1348,0.001625
1349,0.03372
1350,0.4545
1351,0.02796
1352,0.1281
1353,0.7738
1354,0.3652
1355,0.1321
1356,0.4881
1357,0.5265
1358,0.4245
1359,0.5259
1360,0.1565
1361,0.6846
1362,0.02162
1363,0.1349
1364,0.08308
1365,0.569
1366,0.04983
1367,0.385
1368,0.3278
1369,0.5762
1370,0.1327
1371,0.3409
1372,0.2982
1373,0.5956
1374,0.184
1375,0.5778
1376,0.4578
1377,0.6911
1378,0.4333
1379,0.3394
1380,0.6338
1381,0.3202
1382,0.5043
1383,0.2157
1384,0.2565
1385,0.3909
1386,0.2771
1387,0.3822
1388,0.2374
