t,deltaS
1351,0.8687
1352,0.008633
1353,-1.038
1354,0.4588
1355,0.1536
1356,-0.6874
1357,-0.3095
1358,0.7764
1359,-1.115
1360,0.292
1361,-0.8359
1362,-0.6256
1363,0.3356
1364,0.162
1365,-0.4802
1366,-0.1991
1367,-0.6906
1368,0.07388
1369,-0.1369
1370,1.206
1371,0.02944
1372,0.3682
1373,-0.1238
1374,-0.7512
1375,0.4874
1376,0.5414
1377,0.5904
1378,0.7654
1379,0.877
1380,0.9065
1381,0.1816
1382,-0.3704
1383,0.2855
1384,0.3777
1385,-0.2813
1386,-0.7215
1387,-0.301
1388,-0.3336
1389,0.02334
1390,-0.08705
1391,-0.03727
1392,1.331
1393,0.2216
1394,0.9787
1395,0.4528
1396,0.3467
1397,1.036
1398,0.2765
1399,-0.3051
1400,-1.171
1401,0.189
1402,0.8984
1403,0.609
1404,0.1466
1405,0.8149
1406,0.3938
1407,-0.9979
1408,-0.5327
1409,-0.166
1410,0.1608
1411,0.4819
1412,0.0247
1413,-0.4747
1414,0.853
1415,0.52
1416,0.1182
1417,-0.183
1418,0.7321
1419,0.6975
1420,-0.1625
1421,-0.05748
1422,0.6399
1423,0.3566
1424,0.8452
1425,1.029
1426,-0.4084
1427,-0.7105
1428,0.9642
1429,1.185
1430,-0.3241
1431,0.1483
1432,0.2566
1433,0.8833
1434,0.02469
1435,0.9196
1436,-0.6191
1437,-0.8206
1438,-0.2887
1439,0.9121
1440,0.04432
1441,0.1792
1442,-0.6017
1443,-0.2105
1444,-0.03907
1445,-0.8705
1446,0.3656
1447,0.4398
1448,-0.4309
1449,0.1735
1450,-0.2169
1451,-1.183
1452,0.197
1453,-0.1246
1454,0.407
1455,0.6186
1456,0.5356
1457,-0.8325
1458,-0.4236
1459,-0.003147
1460,-0.2916
1461,-0.1061
1462,-0.3327
1463,1.269
1464,1.166
1465,0.3686
1466,0.5486
1467,-0.2987
1468,0.5737
1469,0.6269
1470,0.8119
1471,0.3221
1472,-0.3701
1473,-0.3621
1474,0.3782
1475,-0.417
1476,-0.506
1477,1.02
1478,0.8513
1479,-0.2907
1480,0.6666
1481,0.3288
1482,0.7776
1483,0.06886
1484,0.3203
1485,0.2978
1486,-1.151
1487,-0.04909
1488,0.9952
1489,0.04786
1490,-0.9399
1491,-0.2049
1492,0.4495
1493,0.1785
1494,1.114
1495,0.1788
1496,0.3703
1497,-0.4554
1498,-0.07514
1499,0.1166
1500,0.8554
