t,cg_iters
2344,10449
2345,10256
2346,10308
2347,10366
2348,10150
2349,10348
2350,10385
2351,10314
2352,10323
2353,10294
2354,10166
2355,10290
2356,10302
2357,10360
2358,10514
2359,10387
2360,10259
2361,10218
2362,10339
2363,10425
2364,10346
2365,10208
2366,10164
2367,10263
2368,10271
2369,10327
2370,10425
2371,10297
2372,10361
2373,10388
2374,10246
2375,10233
2376,10310
2377,10244
2378,10236
2379,10218
2380,10418
2381,10298
2382,10227
2383,10292
2384,10268
2385,10354
2386,10276
2387,10160
2388,10294
2389,10230
2390,10510
2391,10399
2392,10357
2393,10523
2394,10296
2395,10368
2396,10187
2397,10271
2398,10355
2399,10434
2400,10311
2401,10296
2402,10316
2403,10207
2404,10245
2405,10288
2406,10227
2407,10342
2408,10399
2409,10369
2410,10443
2411,10346
2412,10323
2413,10330
2414,10285
2415,10158
2416,10233
2417,10400
2418,10310
2419,10349
2420,10340
2421,10388
2422,10437
2423,10304
2424,10214
2425,10275
2426,10775
2427,10143
2428,10561
2429,10285
2430,10415
2431,10432
2432,10534
2433,10327
2434,10379
2435,10301
2436,10290
2437,10524
2438,10360
2439,10489
2440,10351
2441,10304
2442,10478
2443,10487
2444,10438
2445,10181
2446,10276
2447,10284
2448,10385
2449,10170
2450,10420
2451,10398
2452,10516
2453,10321
2454,10416
2455,10550
2456,10473
2457,10250
2458,10235
2459,10345
2460,10306
2461,10411
2462,10343
2463,10192
2464,10256
2465,10450
2466,10349
2467,10374
2468,10341
2469,10191
2470,10333
2471,10156
2472,10234
2473,10287
2474,10298
2475,10416
2476,10291
2477,10254
2478,10289
2479,10344
2480,10351
2481,10303
2482,10320
2483,10451
2484,10367
2485,10242
2486,10142
2487,10161
2488,10321
2489,10503
2490,10339
2491,10344
2492,10294
2493,10380
2494,10270
