t,deltaS
1041,-0.1746
1042,0.03119
1043,-0.1272
1044,-0.01193
1045,-0.1051
1046,0.06435
1047,0.1269
1048,-0.05806
1049,0.1332
1050,0.05825
1051,-0.01781
1052,0.05681
1053,-0.09241
1054,-0.08697
1055,-0.0301
1056,0.01746
1057,-0.09231
1058,0.06359
1059,-0.1187
1060,0.01312
1061,0.1246
1062,-0.05643
1063,0.1199
1064,-0.1696
1065,0.07417
1066,0.0639
1067,-0.02743
1068,0.1672
1069,0.09087
1070,0.01915
1071,0.02549
1072,-0.05708
1073,-0.009857
1074,-0.1472
1075,-0.04337
1076,0.07403
1077,0.09005
1078,-0.006314
1079,0.0141
1080,-0.02245
1081,0.114
1082,0.1538
1083,-0.0648
1084,0.03577
1085,-0.07157
1086,-0.09255
1087,0.04008
1088,0.1822
1089,-0.0874
1090,0.02725
1091,0.1351
1092,0.08747
1093,-0.06395
1094,0.05414
1095,0.2622
1096,0.1375
1097,-0.01984
1098,-0.03404
1099,0.1198
1100,-0.1037
1101,0.1081
1102,-0.0002794
1103,-0.06764
1104,0.1201
1105,-0.04447
1106,-0.03702
1107,0.07043
1108,-0.1325
1109,0.02205
1110,0.01492
1111,0.1906
1112,-0.1705
1113,-0.009435
1114,-0.04678
1115,0.08806
1116,0.005676
1117,-0.04603
1118,0.04537
1119,0.1057
1120,-0.02317
1121,0.06435
1122,0.1071
1123,-0.08173
1124,-0.1052
1125,-0.004242
1126,0.08473
1127,0.03107
1128,0.07733
1129,0.005728
1130,-0.2122
1131,-0.0932
1132,0.007207
1133,-0.1828
1134,0.027
1135,0.013
1136,0.01303
1137,-0.03646
1138,-0.1609
1139,0.04596
1140,-0.01944
1141,0.1469
1142,0.07084
1143,-0.04702
1144,0.1379
1145,-0.03789
1146,0.07868
1147,0.05603
1148,0.008807
1149,-0.05724
1150,-0.05318
1151,0.1385
1152,-0.06804
1153,0.2126
1154,-0.06987
1155,0.04497
1156,-0.09697
1157,-0.03051
1158,0.1511
1159,-0.08477
1160,0.04859
1161,-0.0219
1162,-0.149
1163,0.09289
1164,-0.1022
1165,0.1309
1166,0.03877
1167,0.0646
1168,-0.05986
1169,-0.05618
1170,0.04345
1171,-0.1599
1172,-0.002659
1173,-0.05495
1174,-0.03891
1175,-0.05318
1176,0.0577
1177,0.0002957
1178,-0.04405
1179,-0.02868
1180,-0.08701
1181,0.208
1182,-0.1271
1183,0.09095
1184,0.00544
1185,0.1312
1186,0.008005
1187,-0.0008646
1188,0.1886
1189,0.003711
1190,-0.1139
1191,-0.1154
1192,0.03466
1193,0.21
1194,-0.01437
1195,-0.02988
1196,0.04133
1197,-0.09348
1198,0.007462
1199,0.07081
1200,-0.2471
1201,0.00752
1202,-0.09591
1203,0.03741
1204,-0.06994
1205,0.1107
1206,0.0503
1207,0.08511
1208,-0.03386
1209,0.01435
1210,0.08283
1211,0.09539
1212,-0.1185
1213,-0.08533
1214,-0.09681
1215,-0.06423
1216,-0.1094
1217,0.07986
1218,0.2657
1219,-0.05084
1220,0.07216
1221,-0.1146
1222,0.01733
1223,-0.1578
1224,0.06281
1225,-0.01029
1226,0.1386
1227,-0.02802
1228,-0.299
1229,0.1725
1230,0.1163
1231,0.0251
1232,-0.00114
1233,-0.131
1234,-0.1111
1235,0.2031
1236,-0.05392
1237,-0.1715
1238,0.07744
1239,-0.01419
1240,-0.0315
1241,-0.09963
1242,0.06749
1243,-0.03099
1244,0.1647
1245,0.03292
1246,-0.1022
1247,-0.2753
1248,0.01435
1249,-0.03025
1250,-0.02846
1251,-0.01433
1252,-0.04898
1253,0.06132
1254,0.1757
1255,0.07835
1256,0.1724
1257,0.06591
1258,-0.08575
1259,0.1003
1260,0.05892
1261,0.05866
1262,0.1061
1263,-0.05489
1264,-0.07838
1265,-0.03449
1266,-0.06203
1267,0.06659
1268,0.07399
1269,0.002337
1270,-0.0001335
1271,0.0125
1272,-0.1016
1273,0.2106
1274,0.003524
1275,-0.1318
1276,0.08599
1277,-0.07849
1278,0.03553
1279,0.1698
1280,-0.002584
1281,-0.2179
1282,0.1253
1283,0.001809
1284,-0.1556
1285,-0.1039
1286,0.02303
1287,-0.063
1288,-0.1523
1289,0.1641
1290,0.08321
1291,-0.1498
1292,-0.09409
1293,0.017
1294,0.1123
1295,0.05313
1296,-0.01149
1297,-0.1441
1298,-0.009728
1299,-0.05014
1300,0.001529
1301,0.09258
1302,0.2124
1303,0.01687
1304,-0.1049
1305,-0.07951
