MDTU,plaq
2318,0.0410653
2319,0.0397525
2320,0.0406293
2321,0.0431681
2322,0.0404853
2323,0.0429268
2324,0.0415369
2325,0.0434953
2326,0.0401799
2327,0.0401197
2328,0.039655
2329,0.0396931
2330,0.0403929
2331,0.039745
2332,0.0403951
2333,0.0399978
2334,0.0394378
2335,0.0416776
2336,0.0397023
2337,0.041266
2338,0.0415637
2339,0.0424234
2340,0.0395929
2341,0.0410714
2342,0.0397164
2343,0.0397164
2344,0.0408646
2345,0.0423894
2346,0.040877
2347,0.0392277
2348,0.0412391
2349,0.0405103
2350,0.0411959
2351,0.0386233
2352,0.040185
2353,0.040945
2354,0.0391944
2355,0.040475
2356,0.0403993
2357,0.0390689
2358,0.0408556
2359,0.041883
2360,0.0429644
2361,0.04127
2362,0.0406579
2363,0.0387739
2364,0.0403587
2365,0.0409367
2366,0.0409367
2367,0.0405852
2368,0.0403779
2369,0.0406535
2370,0.0407717
2371,0.0407717
2372,0.0400376
2373,0.0402323
2374,0.0418802
2375,0.0418677
2376,0.0402963
2377,0.042119
2378,0.0408234
2379,0.0399446
2380,0.0409178
2381,0.042267
2382,0.0426088
2383,0.0404404
2384,0.0396915
2385,0.04256
2386,0.041029
2387,0.0420728
2388,0.0413455
2389,0.0411703
2390,0.0418694
2391,0.0405951
2392,0.0409427
2393,0.0409427
2394,0.0409427
2395,0.0412174
2396,0.0422452
2397,0.0422452
2398,0.0397274
2399,0.0400245
2400,0.0420335
2401,0.0405901
2402,0.0412863
2403,0.0423936
2404,0.0410584
2405,0.0415927
2406,0.0404377
2407,0.0393561
2408,0.0399898
2409,0.0394451
2410,0.0408231
2411,0.0423517
2412,0.0405432
2413,0.0406078
2414,0.0416482
2415,0.0428454
2416,0.0411343
2417,0.0415901
2418,0.0401221
2419,0.0408475
2420,0.043379
2421,0.0408331
2422,0.0418951
2423,0.0409581
2424,0.0396423
2425,0.0396423
2426,0.0404766
2427,0.0391314
2428,0.0402332
2429,0.0408578
2430,0.0396912
2431,0.038246
2432,0.0399588
2433,0.0397676
2434,0.0414678
2435,0.0396472
2436,0.040085
2437,0.0412074
2438,0.0398017
2439,0.0407113
2440,0.0392149
2441,0.0411108
2442,0.0411108
2443,0.0398208
2444,0.0403734
2445,0.0399968
2446,0.0406472
2447,0.0404688
2448,0.0400574
2449,0.0398418
2450,0.0407198
2451,0.0401169
2452,0.0396036
2453,0.0405242
2454,0.0402055
2455,0.0385875
2456,0.0399639
2457,0.0397221
2458,0.0382455
2459,0.0389247
2460,0.0416781
2461,0.0401145
2462,0.0392722
2463,0.0401889
2464,0.0405555
2465,0.0401362
2466,0.0391391
2467,0.0393341
2468,0.0408052
2469,0.0414605
2470,0.0416912
2471,0.04131
2472,0.0426667
2473,0.0399762
2474,0.0411804
2475,0.0400006
2476,0.0389503
2477,0.0385861
2478,0.0393124
2479,0.0395254
2480,0.0394262
2481,0.0391195
2482,0.0383978
2483,0.0411218
2484,0.0392676
2485,0.0394739
2486,0.0409972
2487,0.0404873
2488,0.0402925
2489,0.0401607
2490,0.0399385
2491,0.0416842
2492,0.039633
2493,0.0414578
2494,0.0421946
2495,0.0404676
2496,0.0396306
2497,0.0422924
2498,0.0397854
2499,0.0389202
2500,0.0404875
2501,0.0407773
2502,0.0398451
2503,0.0404471
2504,0.0387664
2505,0.0395995
2506,0.0393618
2507,0.0395526
2508,0.0419919
2509,0.0408627
2510,0.0393129
2511,0.0413633
2512,0.0411079
2513,0.0390999
2514,0.0406496
2515,0.0421142
2516,0.0392041
2517,0.03976
2518,0.0396936
2519,0.040619
2520,0.0407662
2521,0.0395324
2522,0.038057
2523,0.0376951
2524,0.0404597
2525,0.0394031
2526,0.0393281
2527,0.038828
2528,0.0399489
2529,0.0411987
2530,0.0421019
2531,0.0401959
2532,0.042074
2533,0.0408384
2534,0.0392437
2535,0.0378385
2536,0.0414978
2537,0.0402617
2538,0.039948
2539,0.0405635
2540,0.0412005
2541,0.0408016
2542,0.0411353
2543,0.0420614
2544,0.0401294
2545,0.040676
2546,0.0414932
2547,0.0414932
2548,0.0404911
2549,0.041257
2550,0.0413183
2551,0.0395305
2552,0.0395305
2553,0.0407212
2554,0.0415567
2555,0.040046
2556,0.0398867
2557,0.042501
2558,0.0404145
2559,0.041476
2560,0.0411078
2561,0.039239
2562,0.0386516
2563,0.0395634
2564,0.0402637
2565,0.0410149
2566,0.0403042
2567,0.0406367
2568,0.0398229
2569,0.0391014
2570,0.0398078
2571,0.0408741
2572,0.0408577
2573,0.0396207
2574,0.0400946
2575,0.0413105
2576,0.0419989
2577,0.042286
2578,0.0412109
2579,0.0416958
2580,0.0427708
2581,0.0402743
2582,0.038915
2583,0.0397228
2584,0.0404225
2585,0.0404379
2586,0.0393222
