MDTU,min_width,max_width
680,2.44259,1.01865
681,2.51025,1.03034
682,2.46255,1.02777
683,2.46255,1.02777
684,2.46255,1.02777
685,2.61542,1.02699
686,2.55168,1.02092
687,2.51085,1.02821
688,2.42831,1.03213
689,2.56597,1.02713
690,2.51121,1.03308
691,2.46429,1.02585
692,2.45159,1.02325
693,2.52834,1.02675
694,2.42855,1.02278
695,2.52725,1.03471
696,2.4341,1.03354
697,2.52918,1.03306
698,2.52242,1.02647
699,2.52242,1.02647
700,2.50287,1.02038
701,2.50287,1.02038
702,2.57448,1.01586
703,2.53097,1.03143
704,2.61552,1.0393
705,2.48344,1.03398
706,2.51239,1.04302
707,2.50582,1.02703
708,2.53931,1.03168
709,2.56644,1.04415
710,2.58134,1.03971
711,2.4777,1.04016
712,2.47273,1.02461
713,2.45472,1.01347
714,2.50933,1.03843
715,2.50933,1.03843
716,2.51981,1.03076
717,2.48878,1.03898
718,2.61191,1.03757
719,2.53063,1.02957
720,2.44435,1.02406
721,2.55337,1.04239
722,2.45164,1.02259
723,2.57769,1.03263
724,2.52666,1.02804
725,2.48526,1.03155
726,2.54098,1.03376
727,2.59319,1.02451
728,2.56596,1.03131
729,2.51403,1.02876
730,2.50011,1.0299
731,2.50011,1.0299
732,2.47986,1.02581
733,2.50839,1.02391
734,2.52675,1.03482
735,2.44345,1.02211
736,2.57075,1.02979
737,2.48023,1.02674
738,2.5831,1.02204
739,2.6497,1.02762
740,2.53294,1.04528
741,2.48441,1.02812
742,2.53283,1.03521
743,2.43191,1.02851
744,2.4571,1.02531
745,2.51584,1.02702
746,2.52573,1.03036
747,2.50273,1.01972
748,2.59109,1.02652
749,2.49032,1.02704
750,2.49149,1.03158
751,2.49149,1.03158
752,2.55167,1.02398
753,2.47145,1.03707
754,2.55308,1.04388
755,2.59355,1.03329
756,2.57252,1.04271
757,2.43263,1.03229
758,2.55328,1.02678
759,2.46747,1.03152
760,2.51374,1.01264
761,2.54047,1.02595
762,2.51641,1.03568
763,2.52434,1.03275
764,2.43943,1.03406
765,2.42833,1.03594
766,2.56602,1.04165
767,2.51547,1.024
768,2.56244,1.02926
769,2.5167,1.02814
770,2.50632,1.02157
771,2.43765,1.03476
772,2.54459,1.02532
773,2.58476,1.0348
774,2.49612,1.03166
775,2.52841,1.03627
776,2.44526,1.03733
777,2.51339,1.04153
778,2.43862,1.01971
779,2.51364,1.02735
780,2.57984,1.03684
781,2.61578,1.03559
782,2.48858,1.02793
783,2.53779,1.02622
784,2.4697,1.02305
785,2.47499,1.03258
786,2.54209,1.02123
787,2.5429,1.03172
788,2.48196,1.03707
789,2.60541,1.04058
790,2.58892,1.01984
791,2.49701,1.01605
792,2.5814,1.02243
793,2.43603,1.02821
794,2.52358,1.0243
795,2.5344,1.02853
796,2.54815,1.02552
797,2.54023,1.04181
798,2.5117,1.03124
799,2.40912,1.03318
800,2.55987,1.0257
801,2.48963,1.02301
802,2.54738,1.03902
803,2.41598,1.03394
804,2.46509,1.02523
805,2.49352,1.02835
806,2.45699,1.04235
807,2.57288,1.03042
808,2.55963,1.02885
809,2.52652,1.03876
810,2.50857,1.02704
811,2.49765,1.03904
812,2.47012,1.0512
813,2.55245,1.02993
814,2.55245,1.02993
815,2.44764,1.03482
816,2.52544,1.03805
817,2.52257,1.02357
818,2.40094,1.0323
819,2.53428,1.02601
820,2.48099,1.02993
821,2.39677,1.03221
822,2.47228,1.02444
823,2.53869,1.03687
824,2.59631,1.03336
825,2.52992,1.03034
826,2.54415,1.01663
827,2.45376,1.02369
828,2.50063,1.02878
829,2.5021,1.01605
830,2.57048,1.02505
831,2.45378,1.02206
832,2.51572,1.01117
833,2.61518,1.02187
834,2.51583,1.02889
835,2.4535,1.02386
836,2.49432,1.03058
837,2.41597,1.03856
838,2.47033,1.02524
839,2.60757,1.01835
840,2.47437,1.02697
841,2.47083,1.02802
842,2.55638,1.02738
843,2.46637,1.02611
844,2.37782,1.03362
845,2.57504,1.02869
846,2.45162,1.03556
847,2.55819,1.03821
848,2.55281,1.02039
849,2.54015,1.03636
850,2.55681,1.02813
851,2.49611,1.0279
852,2.4953,1.04073
853,2.54049,1.03409
854,2.52109,1.03345
855,2.46473,1.01672
856,2.49346,1.03177
857,2.45456,1.02375
858,2.45829,1.03134
859,2.52256,1.02859
860,2.45274,1.01818
861,2.5059,1.02613
862,2.5059,1.02613
863,2.5059,1.02613
864,2.44714,1.02452
865,2.52163,1.01485
866,2.52987,1.03668
867,2.40536,1.02314
868,2.49734,1.0244
869,2.48151,1.03145
870,2.52392,1.03242
871,2.50462,1.02943
872,2.48597,1.02325
873,2.50841,1.03547
874,2.40468,1.02583
875,2.5433,1.02711
876,2.52616,1.02569
877,2.52129,1.02497
878,2.55346,1.0299
879,2.57856,1.0249
880,2.40531,1.02925
881,2.5326,1.01378
882,2.41564,1.00973
883,2.54389,1.0251
884,2.46274,1.02826
885,2.49181,1.03586
886,2.48687,1.02606
887,2.44085,1.02894
888,2.54164,1.03373
889,2.53061,1.03422
890,2.50041,1.02165
891,2.43465,1.02565
892,2.47446,1.03486
893,2.54482,1.03941
894,2.449,1.03303
895,2.50977,1.02884
896,2.48535,1.03497
897,2.58496,1.02826
898,2.56915,1.0199
899,2.51215,1.01703
900,2.49119,1.03899
901,2.51749,1.02729
902,2.45478,1.02227
903,2.53768,1.03752
904,2.52181,1.03043
905,2.56835,1.0298
906,2.5174,1.02773
907,2.48925,1.03486
908,2.4198,1.04029
909,2.50511,1.03694
910,2.47913,1.03231
911,2.58549,1.02627
912,2.63056,1.03301
913,2.48898,1.02964
914,2.52958,1.03622
915,2.52958,1.03622
916,2.54052,1.02817
917,2.50857,1.02901
918,2.57663,1.02086
919,2.45938,1.02874
920,2.53326,1.03427
921,2.53755,1.0292
922,2.54836,1.02781
923,2.4996,1.0204
924,2.50845,1.02577
925,2.54909,1.03734
926,2.53329,1.0341
927,2.54463,1.02323
928,2.49981,1.04166
929,2.58056,1.03879
930,2.50417,1.03438
931,2.52929,1.03104
932,2.48496,1.02589
933,2.4308,1.03306
934,2.62637,1.02958
935,2.54134,1.02109
936,2.50152,1.02594
937,2.45811,1.03306
938,2.59723,1.03167
939,2.53292,1.03661
940,2.60704,1.03838
941,2.48006,1.01303
942,2.52412,1.03369
943,2.48086,1.03993
944,2.47655,1.03378
945,2.55894,1.03166
946,2.63686,1.0316
947,2.39751,1.03783
948,2.51289,1.02845
949,2.39915,1.02655
950,2.45597,1.02325
951,2.50856,1.02551
952,2.53038,1.02029
953,2.4331,1.03264
954,2.4867,1.02884
955,2.47837,1.02361
956,2.57338,1.01964
957,2.60254,1.0227
958,2.60003,1.04362
959,2.56675,1.03064
960,2.44799,1.03311
961,2.53609,1.01367
962,2.48696,1.02493
963,2.48696,1.02493
964,2.54401,1.0299
965,2.58295,1.03458
966,2.50369,1.0151
967,2.62025,1.01774
968,2.53135,1.02467
969,2.60519,1.02147
970,2.52534,1.02823
971,2.44865,1.02617
972,2.54053,1.03461
973,2.47452,1.02597
974,2.57903,1.02528
975,2.46303,1.0313
976,2.50284,1.02749
977,2.47141,1.0276
978,2.59904,1.01249
979,2.59766,1.03849
980,2.43775,1.04098
981,2.48916,1.02747
982,2.50957,1.02142
983,2.51644,1.03387
984,2.47549,1.03108
985,2.53297,1.03241
986,2.50712,1.03924
987,2.55481,1.02578
988,2.63213,1.02067
989,2.42826,1.02483
990,2.52904,1.02962
991,2.51637,1.02886
992,2.5991,1.00933
993,2.55576,1.02684
994,2.61447,1.02964
995,2.46653,1.02294
996,2.63866,1.03711
997,2.4898,1.02505
998,2.4631,1.03731
999,2.48066,1.04008
1000,2.4865,1.0217
1001,2.54097,1.03551
1002,2.48174,1.03769
1003,2.58822,1.03445
1004,2.48717,1.0385
1005,2.53416,1.02515
1006,2.52028,1.03257
1007,2.44529,1.03201
1008,2.56044,1.03893
1009,2.54694,1.03161
1010,2.54811,1.03076
1011,2.59685,1.02179
1012,2.56226,1.03663
1013,2.57559,1.0349
1014,2.54251,1.04218
1015,2.49424,1.02824
1016,2.42944,1.0239
1017,2.45875,1.02719
1018,2.45882,1.03083
1019,2.52268,1.04073
1020,2.57477,1.0392
1021,2.58278,1.02725
1022,2.49038,1.02564
1023,2.47824,1.02869
1024,2.46377,1.01167
1025,2.50784,1.02918
1026,2.45076,1.03181
1027,2.51306,1.02727
1028,2.47212,1.04658
1029,2.61059,1.02687
1030,2.45681,1.03663
1031,2.52711,1.02795
1032,2.56749,1.03366
1033,2.56749,1.03366
1034,2.39769,1.03193
1035,2.54539,1.03183
1036,2.52135,1.02441
1037,2.52135,1.02441
1038,2.50446,1.034
1039,2.50863,1.03333
1040,2.44983,1.02423
1041,2.49915,1.0314
1042,2.45507,1.01809
1043,2.57572,1.0286
1044,2.46311,1.03808
1045,2.4991,1.03025
1046,2.53419,1.02865
1047,2.51677,1.03904
1048,2.4957,1.02844
1049,2.4862,1.03168
1050,2.49195,1.02629
1051,2.49976,1.03751
1052,2.55715,1.02586
1053,2.50912,1.02764
1054,2.49353,1.0255
1055,2.64079,1.0224
1056,2.4889,1.03185
1057,2.46912,1.02183
1058,2.47187,1.02477
1059,2.42039,1.02816
1060,2.4759,1.02328
1061,2.58112,1.03097
1062,2.45224,1.0162
1063,2.48303,1.01685
1064,2.5076,1.01675
1065,2.54378,1.0326
1066,2.54378,1.0326
1067,2.49994,1.02723
1068,2.56323,1.03745
1069,2.44666,1.03325
1070,2.48649,1.02586
1071,2.51658,1.01173
1072,2.47051,1.02268
1073,2.56831,1.0328
1074,2.55186,1.02728
1075,2.46074,1.01769
1076,2.55034,1.03168
1077,2.5731,1.03006
1078,2.54643,1.03472
1079,2.39928,1.03796
1080,2.54443,1.02156
1081,2.50381,1.02415
1082,2.42811,1.03091
1083,2.4677,1.03285
1084,2.48665,1.01829
1085,2.5021,1.03582
1086,2.56181,1.03352
1087,2.41149,1.03108
1088,2.53276,1.02922
1089,2.58225,1.02604
1090,2.47815,1.02498
1091,2.49036,1.02599
1092,2.47884,1.03407
1093,2.48707,1.03992
1094,2.52036,1.03188
1095,2.52036,1.03188
1096,2.48789,1.03162
1097,2.55751,1.04518
1098,2.49073,1.01862
1099,2.5764,1.03232
1100,2.64753,1.02597
1101,2.64753,1.02597
1102,2.53908,1.01826
1103,2.53237,1.03271
1104,2.49233,1.0224
1105,2.42094,1.03487
1106,2.39196,1.01602
1107,2.5381,1.01899
1108,2.52885,1.02023
1109,2.50462,1.03185
1110,2.43835,1.02783
1111,2.52234,1.02023
1112,2.57801,1.03493
1113,2.57284,1.04015
1114,2.53681,1.01534
1115,2.51177,1.03025
1116,2.51921,1.02443
1117,2.50433,1.03275
1118,2.49761,1.02979
1119,2.53655,1.02546
1120,2.50241,1.01606
1121,2.53048,1.03369
1122,2.53048,1.03369
1123,2.47417,1.04385
1124,2.52208,1.03517
1125,2.39714,1.03014
1126,2.45283,1.02449
1127,2.48343,1.02384
1128,2.56487,1.02612
1129,2.48867,1.02895
1130,2.51852,1.02854
1131,2.49622,1.02911
1132,2.52863,1.01521
1133,2.42097,1.0197
1134,2.46604,1.02136
1135,2.45085,1.02073
1136,2.48641,1.02715
1137,2.47415,1.01879
1138,2.48086,1.02877
1139,2.48905,1.03261
1140,2.48703,1.02036
1141,2.52666,1.02082
1142,2.4929,1.03245
1143,2.52576,1.02052
1144,2.51286,1.03062
1145,2.50912,1.03173
1146,2.53579,1.01965
1147,2.42419,1.02912
1148,2.51001,1.03516
1149,2.54749,1.02107
1150,2.4489,1.02137
