t,cg_iters
1525,8219
1526,7989
1527,8061
1528,8253
1529,8294
1530,8291
1531,8136
1532,8084
1533,7966
1534,7946
1535,7900
1536,8026
1537,7943
1538,8027
1539,8001
1540,7948
1541,7834
1542,7822
1543,8012
1544,8175
1545,8033
1546,8188
1547,7951
1548,8040
1549,8167
1550,8143
1551,8069
1552,7855
1553,8087
1554,8061
1555,8009
1556,8145
1557,7893
1558,8035
1559,8110
1560,8125
1561,7875
1562,8040
1563,8023
1564,8095
1565,8095
1566,8337
1567,8090
1568,8204
1569,8234
1570,8083
1571,8170
1572,7987
1573,8040
1574,7968
1575,7824
1576,7790
1577,7842
1578,7935
1579,7940
1580,7890
1581,8001
1582,7820
1583,8002
1584,7893
1585,8181
1586,8215
1587,7885
1588,8042
1589,8141
1590,7987
1591,8187
1592,8045
1593,8247
1594,8242
1595,8117
1596,8018
1597,8075
1598,7970
1599,8133
1600,8223
1601,8093
1602,7849
1603,7729
1604,8060
1605,8043
1606,8190
1607,8000
1608,7972
1609,8081
1610,7933
1611,8041
1612,8017
1613,8064
1614,7938
1615,8218
1616,8226
1617,8181
1618,7804
1619,7973
1620,7945
1621,7898
1622,7993
1623,8077
1624,8308
1625,8291
1626,7794
1627,7956
1628,8134
1629,8544
1630,8273
1631,8401
1632,8253
1633,8206
1634,7860
1635,7840
1636,8135
1637,8397
1638,8221
1639,8058
1640,7885
1641,8014
1642,8048
1643,8093
1644,7914
1645,8036
1646,8010
1647,7994
1648,7799
1649,8083
1650,8006
1651,7979
1652,7973
1653,8149
1654,8025
1655,8201
1656,8147
1657,8067
1658,7901
1659,8038
1660,8077
1661,7861
1662,8184
1663,8085
1664,8052
1665,8274
1666,8030
1667,8497
1668,8130
1669,8055
1670,8196
1671,8095
1672,8264
1673,8142
1674,7851
1675,8158
1676,8074
1677,7973
1678,7961
1679,7947
1680,8075
1681,7998
1682,8009
1683,7973
1684,8022
1685,7827
1686,7940
1687,7923
1688,7874
1689,7951
1690,7996
1691,8047
1692,7931
1693,8010
1694,7777
1695,7968
1696,7890
1697,8053
1698,7863
1699,8053
1700,8170
1701,8129
1702,8051
1703,7949
1704,7822
1705,7735
1706,8090
1707,8176
1708,8050
1709,8292
1710,8133
1711,8006
1712,8081
1713,8124
1714,7975
1715,7846
1716,8133
1717,8118
1718,7934
1719,8107
1720,8261
1721,8225
1722,8115
1723,8023
1724,8079
1725,8293
1726,8288
1727,8193
1728,8133
1729,8179
1730,8216
1731,7877
1732,8046
1733,7999
1734,7994
1735,8025
1736,8103
1737,8032
1738,8155
1739,8070
1740,7853
1741,7912
1742,8093
1743,8003
1744,7973
1745,7837
1746,7954
1747,8230
1748,8457
1749,8436
1750,8352
1751,8173
1752,8147
1753,8154
1754,7974
1755,7884
1756,8206
1757,8132
1758,8131
1759,7997
1760,7953
