MDTU,S_B
1215,1.00542
1216,1.00542
1217,1.00542
1218,0.994938
1219,0.98823
1220,0.990306
1221,0.99557
1222,0.99557
1223,0.99485
1224,0.988788
1225,0.996278
1226,0.994755
1227,0.993893
1228,0.993893
1229,0.993893
1230,0.99689
1231,0.99689
1232,1.00041
1233,0.993442
1234,0.993442
1235,0.992061
1236,0.98542
1237,0.99443
1238,0.993203
1239,0.98654
1240,0.98654
1241,1.00272
1242,0.995317
1243,0.992364
1244,0.994404
1245,1.00305
1246,1.00452
1247,0.997892
1248,0.999616
1249,0.994373
1250,0.993908
1251,0.99221
1252,1.00168
1253,1.00168
1254,1.00168
1255,1.00168
1256,1.00168
1257,1.00168
1258,0.990974
1259,0.988228
1260,0.992543
1261,0.99805
1262,0.992451
1263,0.991609
1264,0.9864
1265,1.00091
1266,1.00091
1267,0.999739
1268,0.993587
1269,0.988796
1270,0.988796
1271,0.984482
1272,0.98865
1273,0.992068
1274,1.00263
1275,1.0066
1276,1.00264
1277,1.00264
1278,0.996169
1279,0.995188
1280,1.01204
1281,1.00042
1282,0.993578
1283,1.00051
1284,0.99589
1285,0.98784
1286,0.997215
1287,1.00062
1288,0.995981
1289,0.996572
1290,0.997625
1291,0.997544
1292,1.00406
1293,1.00406
1294,1.00406
1295,0.992703
1296,0.994337
1297,0.994276
1298,0.988616
1299,0.990133
1300,1.00649
1301,1.00649
1302,1.00649
1303,0.995421
1304,0.987943
1305,0.999597
1306,0.995313
1307,0.999759
1308,0.999759
1309,0.999759
1310,0.99336
1311,0.987074
1312,0.987074
1313,0.993125
1314,0.991953
1315,0.991953
1316,0.99479
1317,0.977935
1318,0.991122
1319,1.00453
1320,0.999741
1321,1.00585
1322,1.00585
1323,1.00585
1324,0.995547
1325,0.994524
1326,0.984585
1327,0.99563
1328,0.998368
1329,0.998368
1330,1.00124
1331,0.993173
1332,0.993173
1333,1.00269
1334,1.00017
1335,0.991963
1336,0.990643
1337,0.993793
1338,0.993224
1339,1.00029
1340,0.993265
1341,0.993265
1342,0.994592
1343,0.996097
1344,0.997552
1345,1.00024
1346,0.992633
1347,0.996104
1348,1.00356
1349,1.00591
1350,1.00591
1351,1.00591
1352,1.00132
1353,1.0026
1354,1.0026
1355,1.0026
1356,1.0026
1357,1.0026
1358,0.998396
1359,0.995303
1360,1.00045
1361,0.994049
1362,1.00263
1363,0.996515
1364,0.993087
1365,0.993087
1366,0.996488
1367,1.0004
1368,1.0004
1369,1.00254
1370,1.00556
1371,0.994463
1372,0.993115
1373,0.986383
1374,0.995481
1375,0.995481
1376,0.994909
1377,0.994909
1378,1.0049
1379,0.987608
1380,0.992704
1381,0.992704
1382,0.993529
1383,0.997412
1384,0.999217
1385,1.00354
1386,1.00354
1387,1.00354
1388,0.998327
1389,0.997551
1390,0.991894
1391,0.986425
1392,0.986592
1393,0.993042
1394,0.993042
1395,0.999059
1396,1.00661
1397,1.00661
1398,0.997611
1399,0.990522
1400,1.00134
1401,0.995925
1402,0.994635
1403,1.00124
1404,1.00816
1405,1.00367
1406,1.00367
1407,1.00367
1408,0.99501
1409,0.988203
1410,0.990361
1411,0.983647
1412,0.990099
1413,0.990099
1414,0.996659
1415,1.00328
1416,1.00328
1417,0.998777
1418,0.998777
1419,0.993497
1420,0.993708
1421,0.991571
1422,0.991571
1423,1.00088
1424,1.00088
1425,1.0044
1426,1.00465
1427,0.997141
1428,0.992045
1429,0.992045
1430,0.992045
1431,0.996186
1432,0.994591
1433,0.996365
1434,0.996365
1435,1.00675
1436,0.992034
1437,0.992144
1438,0.992331
1439,0.995403
1440,1.00311
1441,0.9934
1442,0.992979
1443,1.00186
1444,1.00404
1445,0.99658
1446,0.995605
1447,0.988869
1448,0.990826
1449,0.987156
1450,1.00111
1451,1.00772
1452,0.986566
1453,0.98996
1454,0.992467
1455,0.992884
1456,0.989352
1457,0.996605
1458,0.996605
1459,0.997445
1460,1.00258
1461,1.00258
1462,1.00258
1463,0.987108
1464,1.00296
1465,0.996884
1466,0.995853
1467,1.00458
1468,0.99271
1469,1.00508
1470,0.992383
1471,1.00166
1472,1.00166
1473,1.00018
1474,0.995374
1475,1.01006
1476,1.01006
1477,1.01006
1478,1.01006
1479,1.01006
1480,0.993907
1481,1.00258
1482,1.00258
1483,1.00219
1484,0.999835
1485,0.999835
1486,0.998077
1487,0.999933
1488,0.999933
1489,0.988128
1490,1.00296
1491,1.00465
1492,0.992544
1493,0.987116
1494,0.987116
1495,0.997248
1496,1.00372
1497,0.993099
1498,0.994266
1499,1.00127
1500,0.994584
1501,0.986249
1502,0.990446
