MDTU,|Tr(L)|,ReTr(L),ImTr(L)
379,1.25264,-0.998614,-0.756232
380,1.15705,-0.888081,-0.741665
381,1.20084,-1.08557,-0.513366
382,1.10697,-1.01197,-0.448657
383,1.20743,-1.07734,-0.545194
384,1.20743,-1.07734,-0.545194
385,1.19482,-1.07829,-0.514657
386,1.19482,-1.07829,-0.514657
387,1.19482,-1.07829,-0.514657
388,1.14364,-1.09355,-0.334751
389,1.26694,-1.20516,-0.390783
390,1.2321,-1.0393,-0.66176
391,1.32913,-1.16201,-0.645242
392,1.32913,-1.16201,-0.645242
393,1.32913,-1.16201,-0.645242
394,1.32913,-1.16201,-0.645242
395,1.22884,-1.14682,-0.44141
396,1.22884,-1.14682,-0.44141
397,1.22235,-1.172,-0.347199
398,1.2764,-1.17678,-0.494342
399,1.27957,-1.15679,-0.546938
400,1.27957,-1.15679,-0.546938
401,1.11004,-0.994314,-0.493487
402,1.26885,-1.26036,-0.146605
403,1.33264,-1.33171,-0.0496359
404,1.19757,-1.11575,-0.435072
405,1.43651,-1.28388,-0.644377
406,1.41456,-1.24089,-0.679105
407,1.33576,-1.20111,-0.584453
408,1.31007,-1.2014,-0.522407
409,1.26151,-1.06869,-0.670291
410,1.24565,-1.10148,-0.581693
411,1.31893,-1.13915,-0.664753
412,1.18908,-0.877067,-0.802916
413,1.34148,-1.02482,-0.865627
414,1.19926,-1.03619,-0.603754
415,1.19926,-1.03619,-0.603754
416,1.19926,-1.03619,-0.603754
417,1.32279,-1.18799,-0.581768
418,1.25788,-1.12554,-0.561628
419,1.31529,-1.09048,-0.735423
420,1.32429,-1.18507,-0.591059
421,1.28375,-1.15819,-0.553735
422,1.26744,-1.10233,-0.625525
423,1.33441,-1.05636,-0.815319
424,1.41525,-0.918253,-1.07692
425,1.41525,-0.918253,-1.07692
426,1.25143,-0.825222,-0.94079
427,1.25143,-0.825222,-0.94079
428,1.36255,-1.03187,-0.889824
429,1.26317,-0.917841,-0.867846
430,1.33695,-0.898905,-0.989654
431,1.34677,-0.61847,-1.19636
432,1.30545,-0.733004,-1.08023
433,1.42368,-0.740499,-1.21594
434,1.31222,-0.548734,-1.19198
435,1.32192,-0.56828,-1.19353
436,1.31584,-0.719054,-1.102
437,1.33022,-0.833337,-1.03684
438,1.29867,-0.748862,-1.06102
439,1.41103,-0.734723,-1.20466
440,1.33204,-0.822738,-1.04759
441,1.29727,-0.655382,-1.11954
442,1.30755,-0.684222,-1.11424
443,1.29139,-0.992655,-0.826026
444,1.43262,-1.05735,-0.966657
445,1.3118,-0.85217,-0.997314
446,1.3118,-0.85217,-0.997314
447,1.3118,-0.85217,-0.997314
448,1.3118,-0.85217,-0.997314
449,1.3118,-0.85217,-0.997314
450,1.40371,-0.821408,-1.13828
451,1.2211,-0.647915,-1.03503
452,1.2211,-0.647915,-1.03503
453,1.23568,-0.658446,-1.04564
454,1.23568,-0.658446,-1.04564
455,1.31756,-0.823131,-1.02879
456,1.23241,-0.635513,-1.05591
457,1.27239,-0.795414,-0.993123
458,1.35636,-0.922066,-0.994744
459,1.35636,-0.922066,-0.994744
460,1.32822,-1.06363,-0.795522
461,1.35472,-1.08928,-0.805441
462,1.36156,-1.12352,-0.769122
463,1.36156,-1.12352,-0.769122
464,1.3313,-1.10068,-0.748911
465,1.2565,-1.12172,-0.566158
466,1.30154,-1.20787,-0.484818
467,1.30154,-1.20787,-0.484818
468,1.23166,-1.09377,-0.566252
469,1.27444,-1.15411,-0.540589
