MDTU,link
1397,1.00293
1398,1.00543
1399,1.00071
1400,1.00458
1401,1.00831
1402,1.00519
1403,1.00904
1404,1.00647
1405,1.00647
1406,1.00647
1407,1.00139
1408,0.987193
1409,0.994822
1410,1.00472
1411,0.996925
1412,1.00939
1413,1.01208
1414,1.01048
1415,1.01866
1416,1.01866
1417,1.02787
1418,1.01084
1419,1.01182
1420,1.0034
1421,1.0116
1422,1.0116
1423,1.0081
1424,1.01411
1425,1.00271
1426,0.999553
1427,0.992347
1428,0.995726
1429,0.995906
1430,0.985809
1431,0.996464
1432,0.99951
1433,1.00132
1434,1.00132
1435,1.01702
1436,1.02428
1437,1.01947
1438,1.01298
1439,1.01298
1440,1.01155
1441,1.01155
1442,1.00861
1443,1.01764
1444,0.999646
1445,0.997607
1446,1.00076
1447,1.00314
1448,1.00253
1449,1.00479
1450,1.01334
1451,1.02082
1452,1.01214
1453,1.02343
1454,1.0151
1455,1.0151
1456,1.02278
1457,1.02461
1458,1.01512
1459,1.01955
1460,1.02332
1461,1.0158
1462,1.01881
1463,1.01964
1464,1.01044
1465,1.01557
1466,1.0123
1467,1.00729
1468,1.01294
1469,1.01295
1470,1.01032
1471,1.01978
1472,1.01978
1473,1.02207
1474,1.02183
1475,1.00815
1476,1.00815
1477,1.00417
1478,1.01383
1479,1.01383
1480,1.01767
1481,1.01607
1482,1.0073
1483,1.00446
1484,1.0109
1485,1.0109
1486,1.01142
1487,1.0086
1488,1.00619
1489,1.01946
1490,1.01946
1491,1.01295
1492,1.02077
1493,1.01668
1494,1.01668
1495,1.01065
1496,1.00894
1497,1.01656
1498,1.01036
1499,1.01597
1500,1.01267
1501,1.00897
1502,1.01466
1503,1.01363
1504,1.01242
1505,1.01242
1506,1.02064
1507,1.02127
1508,1.02127
1509,1.02417
1510,1.0182
1511,1.00182
1512,0.984803
1513,0.990271
1514,0.989201
1515,0.985847
1516,0.976662
1517,0.988992
1518,0.988992
1519,0.994389
1520,0.994389
1521,0.993014
1522,0.989324
1523,0.993594
1524,0.993594
1525,1.0052
1526,0.993629
1527,0.994951
1528,1.00724
1529,1.01448
1530,1.01068
1531,1.01415
1532,1.0187
1533,1.00996
1534,1.00691
1535,1.00283
1536,1.00266
1537,1.00011
1538,0.999734
1539,0.996893
1540,0.99149
1541,0.990478
1542,0.986643
1543,0.983365
1544,0.983365
1545,0.986572
1546,0.986572
1547,0.990482
1548,0.992024
1549,0.993885
1550,0.998371
1551,0.998371
1552,0.992532
1553,0.98892
1554,1.0019
1555,1.0019
1556,1.00226
1557,1.00226
1558,1.01278
1559,1.01278
1560,1.01076
1561,1.00192
1562,1.00192
1563,1.00192
1564,0.99937
1565,0.99937
1566,1.00906
1567,1.00778
1568,1.00612
1569,1.00365
1570,1.00365
1571,0.999712
1572,0.995874
1573,0.98128
1574,0.988993
1575,0.99366
1576,0.996967
1577,0.995724
1578,0.991747
1579,0.994447
1580,0.994447
1581,1.00125
1582,1.01061
1583,1.01061
1584,0.997717
1585,1.00607
1586,1.0001
1587,0.994345
