MDTU,|det-1|^2,1-Re(det),Im(det)
455,0.0029678,0.033894,-3.45033e-05
456,0.0338253,0.181008,2.94131e-06
457,0.0417261,0.20096,-3.66837e-05
458,0.0574062,0.237098,9.27808e-05
459,0.00477973,-0.05623,-1.31285e-05
460,0.0144808,0.109424,-3.4749e-05
461,0.0978057,0.31162,3.71781e-05
462,0.123529,0.348526,1.87859e-05
463,0.0351903,0.184523,-7.47018e-05
464,0.0013888,-0.01141,2.2656e-05
465,0.0140909,0.113503,1.86891e-05
466,0.0698849,0.262115,-6.0448e-05
467,0.0698849,0.262115,-6.0448e-05
468,0.020988,0.137943,-2.57929e-05
469,0.067422,0.255492,-6.1742e-05
470,0.0483675,0.216786,-4.77949e-05
471,0.0417336,0.202038,2.74922e-05
472,0.00722193,0.074341,2.69797e-05
473,0.0467124,0.21315,-3.2559e-05
474,0.0650348,0.253452,-2.32793e-05
475,0.00814704,0.080735,-1.58984e-05
476,0.00814704,0.080735,-1.58984e-05
477,0.00220067,0.007069,-3.20128e-05
478,0.00744036,-0.03891,4.75667e-06
479,0.219104,-0.45514,2.99448e-05
480,0.639586,-0.79347,-7.08764e-07
481,0.794743,-0.88776,-0.000127102
482,0.24348,-0.48946,-0.000120154
483,0.184933,-0.4271,1.63989e-05
484,0.017017,-0.12118,-4.48322e-05
485,0.017017,-0.12118,-4.48322e-05
486,0.0141116,0.112182,5.90987e-05
487,0.00448671,0.049054,-9.62637e-05
488,0.00904978,-0.08547,1.91471e-05
489,0.00904978,-0.08547,1.91471e-05
490,0.00904978,-0.08547,1.91471e-05
491,0.00904978,-0.08547,1.91469e-05
492,0.0561303,-0.2296,-7.59219e-05
493,0.00161482,-0.01088,2.70854e-05
494,0.0156134,0.118874,-6.72532e-05
495,0.00289425,-0.03461,-3.58065e-05
496,0.00160994,-0.02199,5.58232e-06
497,0.00408532,0.03431,-0.000120065
498,0.00408532,0.03431,-0.000120065
499,0.00331423,-0.03025,7.377e-05
500,0.00187749,-0.00917,7.77472e-07
501,0.00286783,0.040936,-6.34243e-06
502,0.0149634,-0.11552,-8.43261e-05
503,0.00868342,-0.07593,-5.19055e-05
504,0.0113624,-0.09123,5.2996e-05
505,0.0668274,0.256673,-6.24634e-05
506,0.00424095,0.055172,-3.41121e-05
507,0.0182131,0.131822,4.3003e-05
508,0.00184522,0.020092,-2.86234e-05
509,0.0645825,0.251889,-1.13061e-05
510,0.0738659,0.270193,4.44863e-06
511,0.0694689,0.26125,4.21541e-05
512,0.0285586,0.165763,3.56269e-05
513,0.0285586,0.165763,3.56269e-05
514,0.030551,0.171797,2.92078e-05
515,0.0614733,0.246286,-6.88707e-05
516,0.0124779,0.102619,-3.92903e-06
517,0.00378263,0.045281,2.67563e-05
518,0.0614202,0.244662,9.08517e-05
519,0.0294695,0.165068,4.59574e-05
520,0.0469351,0.21322,1.23336e-05
521,0.0112422,0.100423,-4.74473e-05
522,0.0518772,0.223483,-9.23363e-05
523,0.0165824,0.123458,-9.4381e-05
524,0.0254344,0.151882,1.35634e-05
525,0.0146615,0.108354,7.52994e-05
526,0.0105479,-0.07147,-7.36278e-05
527,0.0758489,0.272321,-0.000136733
528,0.042905,0.204381,-6.19151e-05
529,0.0152959,0.102009,-5.25129e-05
530,0.00429035,0.043221,-3.19267e-05
531,0.00802893,-0.0498,0.000118593
532,0.0204193,-0.13491,-2.87549e-05
533,0.00205606,0.020676,-7.07388e-06
534,0.0266253,0.160692,-9.9831e-05
535,0.147,0.38228,-1.30081e-05
536,0.111008,0.332225,-9.32799e-05
537,0.132402,0.360711,-7.70015e-05
538,0.0460375,0.209735,-4.51005e-05
539,0.0160959,0.121425,-4.5073e-05
540,0.0166223,0.120741,-6.6522e-05
541,0.00224066,0.019215,-3.74468e-05
542,0.00599954,0.066869,-3.34546e-05
543,0.0217289,0.141797,-1.24951e-05
544,0.0217289,0.141797,-1.24951e-05
545,0.126546,0.354231,5.56367e-05
546,0.1627,0.402654,-2.32452e-05
547,0.0395739,0.196504,-2.22807e-05
548,0.0622545,0.248255,-1.48437e-05
549,0.0335132,0.176936,-0.000133042
550,0.0192499,0.133173,3.74599e-05
551,0.0665357,0.255406,-5.77997e-05
552,0.130216,0.358412,-7.77795e-05
553,0.119498,0.344485,-1.74768e-05
554,0.257093,0.506647,2.19048e-06
555,0.244593,0.493651,-3.108e-05
556,0.208016,0.455394,-3.46844e-06
557,0.227634,0.476633,4.69401e-05
558,0.215447,0.463736,-2.47687e-05
559,0.126678,0.354558,-5.54977e-05
560,0.0856032,0.290519,-3.67206e-06
561,0.0526518,0.227288,-8.75206e-05
562,0.0477875,0.215742,4.37442e-05
563,0.174463,0.41709,-1.04783e-05
564,0.0283625,0.165383,1.31739e-05
565,0.00216529,-0.01389,0.000102668
566,0.00216529,-0.01389,0.000102668
567,0.00813403,-0.08004,-1.54228e-05
568,0.0652547,-0.25078,-2.39038e-05
569,0.150945,-0.38327,5.91728e-05
570,0.0149629,-0.114,2.33071e-05
571,0.0838995,-0.28236,-3.45152e-08
572,0.112053,-0.32735,-7.0995e-06
573,0.0206405,-0.13634,6.16001e-06
574,0.0161971,-0.1207,-1.62794e-05
575,0.00287888,0.031912,5.38058e-05
576,0.00287888,0.031912,5.38058e-05
577,0.00410745,0.053903,4.14515e-05
578,0.0231053,-0.14353,-0.000103237
579,0.0165401,-0.12007,-1.78411e-05
580,0.0077677,0.072898,-0.000108731
581,0.0026023,0.00053,-2.29069e-05
582,0.0432236,-0.2031,-0.000102347
583,0.0132353,-0.10411,1.79894e-05
584,0.00353213,0.046168,-3.4234e-05
585,0.00353213,0.046168,-3.4234e-05
586,0.0131907,-0.08925,-3.14317e-05
587,0.025515,0.154863,-0.00012573
588,0.00224871,-0.01054,1.12148e-05
589,0.00199221,-0.01041,4.97477e-05
590,0.0372061,-0.18792,3.50045e-05
591,0.00383448,-0.04299,-0.000143356
592,0.00383448,-0.04299,-0.000143356
593,0.00186358,0.027515,5.14166e-05
594,0.016696,-0.12027,7.69011e-05
595,0.0668123,-0.2535,-0.000190848
596,0.0443689,-0.20323,-5.56806e-05
597,0.158718,-0.39512,-6.65215e-05
598,0.0365828,-0.18008,4.22998e-05
599,0.0563881,-0.23313,6.84377e-06
600,0.0850665,-0.28334,0.000127201
601,0.0850665,-0.28334,0.000127201
602,0.0850665,-0.28334,0.000127201
603,0.00537458,-0.03781,-5.78327e-05
604,0.00399946,-0.01516,0.000141068
605,0.00427228,-0.05186,3.95064e-05
606,0.0666385,-0.25032,-0.000128048
607,0.0987724,-0.30933,9.62645e-05
608,0.0300442,-0.16723,-9.37465e-06
609,0.0231406,-0.14385,0.0001341
610,0.0173284,0.127525,7.71578e-05
611,0.0440719,0.207408,-1.32629e-05
612,0.00304277,0.03922,-2.10341e-05
613,0.0295151,-0.16593,-2.89506e-05
614,0.120928,-0.33872,5.82197e-05
615,0.120928,-0.33872,5.82197e-05
616,0.00676145,-0.0649,-0.000140799
617,0.00985388,-0.08743,-4.05034e-05
618,0.0154267,-0.11646,-1.5343e-05
619,0.0373055,0.191178,-6.71482e-05
620,0.0305746,0.171191,-0.000107368
621,0.0742875,0.270033,4.03891e-06
622,0.0255415,0.155656,3.43047e-05
623,0.0255415,0.155656,3.43047e-05
624,0.0981166,0.31177,9.26134e-05
625,0.112669,0.33469,3.05257e-05
626,0.0283842,0.165334,-6.08756e-06
627,0.00431997,0.052348,9.26869e-05
628,0.0170365,-0.12148,0.000185035
629,0.00637472,0.059753,5.85217e-05
630,0.0648607,0.252049,-4.47896e-05
631,0.00526539,-0.05697,-3.5594e-05
