MDTU,|Tr(Lx)|
993,0.173661
994,0.0434112
995,0.117776
996,0.136744
997,0.136744
998,0.091721
999,0.0962902
1000,0.112965
1001,0.121961
1002,0.121961
1003,0.121961
1004,0.099101
1005,0.273768
1006,0.14815
1007,0.154403
1008,0.132677
1009,0.123603
1010,0.126435
1011,0.15785
1012,0.0197026
1013,0.0281083
1014,0.107181
1015,0.0277479
1016,0.0629513
1017,0.178455
1018,0.0781249
1019,0.0904574
1020,0.116318
1021,0.0477239
1022,0.0938077
1023,0.129235
1024,0.078499
1025,0.0910738
1026,0.175819
1027,0.187281
1028,0.172513
1029,0.0297745
1030,0.137821
1031,0.234581
1032,0.122401
1033,0.0320374
1034,0.116205
1035,0.157294
1036,0.135315
1037,0.0438961
1038,0.12139
1039,0.050789
1040,0.324768
1041,0.199342
1042,0.213825
1043,0.213825
1044,0.0718492
1045,0.0718492
1046,0.0718492
1047,0.177253
1048,0.177253
1049,0.177253
1050,0.177253
1051,0.179707
1052,0.214716
1053,0.218069
1054,0.0181139
1055,0.0716175
1056,0.0185857
1057,0.0614259
1058,0.0302803
1059,0.0360677
1060,0.0562272
1061,0.0736723
1062,0.0571425
1063,0.0996946
1064,0.101556
1065,0.193995
1066,0.193995
1067,0.193995
1068,0.206163
1069,0.161598
1070,0.190448
1071,0.200187
1072,0.174394
1073,0.0761586
1074,0.218384
1075,0.148486
1076,0.110054
1077,0.123187
1078,0.158078
1079,0.158078
1080,0.235614
1081,0.218949
1082,0.182523
1083,0.0830604
1084,0.0830604
1085,0.0914433
1086,0.206241
1087,0.157196
1088,0.1823
1089,0.278444
1090,0.141617
1091,0.152157
1092,0.198142
1093,0.194179
1094,0.181752
1095,0.181752
1096,0.0255782
1097,0.142005
1098,0.142946
1099,0.136425
1100,0.0908929
1101,0.0908929
1102,0.171538
1103,0.182101
1104,0.0937268
1105,0.0937268
1106,0.0487795
1107,0.128484
1108,0.114074
1109,0.0704225
1110,0.0980645
1111,0.159804
1112,0.16477
1113,0.194568
1114,0.0665636
1115,0.0587978
1116,0.00814323
1117,0.182268
1118,0.182268
1119,0.151643
1120,0.0805538
1121,0.120148
1122,0.120148
1123,0.287331
1124,0.20576
1125,0.336869
1126,0.149816
1127,0.115517
1128,0.115517
1129,0.158339
1130,0.176957
1131,0.110831
1132,0.162696
1133,0.068463
1134,0.068463
1135,0.068463
1136,0.0921522
1137,0.0921522
1138,0.0921522
1139,0.0856187
1140,0.0744262
1141,0.184606
1142,0.184606
1143,0.184606
1144,0.18915
1145,0.040889
1146,0.203652
1147,0.0964402
1148,0.0288661
1149,0.0592754
1150,0.0980053
1151,0.096721
1152,0.0654034
1153,0.0888972
1154,0.128714
1155,0.128714
1156,0.154593
1157,0.106587
1158,0.0773731
1159,0.0939425
1160,0.117293
1161,0.168788
1162,0.124097
1163,0.101648
1164,0.127715
1165,0.0844392
1166,0.133439
1167,0.272776
1168,0.100786
1169,0.164149
1170,0.045833
1171,0.045833
1172,0.0957239
1173,0.112563
1174,0.0974299
1175,0.235544
1176,0.235544
1177,0.235544
1178,0.038105
1179,0.118919
1180,0.118919
1181,0.0140977
1182,0.135562
1183,0.0420368
